Genotype,F1,F2,Plate,Block,Drug,DC,Conentration,FvFm,Root,,
A,2,8,1,1,None,0,0,0.759,21.866,,
A,2,9,1,1,None,0,0,0.707,3.57,,
B,2,62,1,1,None,0,0,0.759,25.51,,
B,2,69,1,1,None,0,0,0.759,21.961,,
BA,2,13,1,1,None,0,0,0.753,5.969,,
BA,2,26,1,1,None,0,0,0.754,12.705,,
W,2,16,1,1,None,0,0,0.758,26.777,,
W,2,41,1,1,None,0,0,0.768,24.439,,
B,2,62,2,2,None,0,0,0.779,32.621,,
B,2,69,2,2,None,0,0,0.776,26.761,,
BA,2,13,2,2,None,0,0,0.745,1.599,,
BA,2,26,2,2,None,0,0,0.649,3.676,,
W,2,16,2,2,None,0,0,0.776,27.123,,
W,2,41,2,2,None,0,0,0.777,7.146,,
A,2,8,2,2,None,0,0,0.777,24.977,,
A,2,9,2,2,None,0,0,0.779,18.145,,
BA,2,13,3,3,None,0,0,0.765,25.914,,
BA,2,26,3,3,None,0,0,0.779,25.9,,
W,2,16,3,3,None,0,0,0.783,3.378,,
W,2,41,3,3,None,0,0,0.765,23.17,,
A,2,8,3,3,None,0,0,0.767,26.199,,
A,2,9,3,3,None,0,0,0.761,18.45,,
B,2,62,3,3,None,0,0,0.758,24.693,,
B,2,69,3,3,None,0,0,0.765,23.928,,
W,2,16,4,4,None,0,0,0.812,25.002,,
W,2,41,4,4,None,0,0,0.814,10.2,,
A,2,8,4,4,None,0,0,0.809,23.479,,
A,2,9,4,4,None,0,0,0.793,5.577,,
B,2,62,4,4,None,0,0,0.807,8.573,,
B,2,69,4,4,None,0,0,0.81,11.085,,
BA,2,13,4,4,None,0,0,0.811,22.23,,
BA,2,26,4,4,None,0,0,0.821,22.746,,
A,2,8,5,5,None,0,0,0.768,22.084,,
A,2,9,5,5,None,0,0,0.776,7.155,,
B,2,62,5,5,None,0,0,0.769,25.052,,
B,2,69,5,5,None,0,0,0.767,15.701,,
BA,2,13,5,5,None,0,0,0.766,21.001,,
BA,2,26,5,5,None,0,0,0.77,25.685,,
W,2,16,5,5,None,0,0,0.766,22.52,,
W,2,41,5,5,None,0,0,0.762,20.784,,
A,2,8,6,1,Ethanol,A,0.001,0.727,9.12,,
A,2,9,6,1,Ethanol,A,0.001,0.755,32.91,,
B,2,62,6,1,Ethanol,A,0.001,0.75,29.763,,
B,2,69,6,1,Ethanol,A,0.001,0.757,27.755,,
BA,2,13,6,1,Ethanol,A,0.001,0.756,28.889,,
BA,2,26,6,1,Ethanol,A,0.001,0.731,7.957,,
W,2,16,6,1,Ethanol,A,0.001,0.77,27.263,,
W,2,41,6,1,Ethanol,A,0.001,0.755,28.268,,
B,2,62,7,2,Ethanol,A,0.001,0.771,26.474,,
B,2,69,7,2,Ethanol,A,0.001,0.767,8.86,,
BA,2,13,7,2,Ethanol,A,0.001,0.769,30.301,,
BA,2,26,7,2,Ethanol,A,0.001,0.767,31.672,,
W,2,16,7,2,Ethanol,A,0.001,0.778,28.493,,
W,2,41,7,2,Ethanol,A,0.001,0.775,28.257,,
A,2,8,7,2,Ethanol,A,0.001,0.773,31.734,,
A,2,9,7,2,Ethanol,A,0.001,0.767,28.992,,
BA,2,13,8,3,Ethanol,A,0.001,0.774,25.645,,
BA,2,26,8,3,Ethanol,A,0.001,0.78,21.707,,
W,2,16,8,3,Ethanol,A,0.001,0.768,26.025,,
W,2,41,8,3,Ethanol,A,0.001,0.768,28.255,,
A,2,8,8,3,Ethanol,A,0.001,0.766,26.86,,
A,2,9,8,3,Ethanol,A,0.001,0.766,26.863,,
B,2,62,8,3,Ethanol,A,0.001,0.773,26.884,,
B,2,69,8,3,Ethanol,A,0.001,0.757,24.123,,
W,2,16,9,4,Ethanol,A,0.001,0.774,28.188,,
W,2,41,9,4,Ethanol,A,0.001,0.778,29.083,,
A,2,8,9,4,Ethanol,A,0.001,0.778,26.796,,
A,2,9,9,4,Ethanol,A,0.001,0.775,25.672,,
B,2,62,9,4,Ethanol,A,0.001,0.774,29.117,,
B,2,69,9,4,Ethanol,A,0.001,0.767,22.725,,
BA,2,13,9,4,Ethanol,A,0.001,0.773,27.057,,
BA,2,26,9,4,Ethanol,A,0.001,0.767,28.028,,
A,2,8,10,5,Ethanol,A,0.001,0.732,2.217,,
A,2,9,10,5,Ethanol,A,0.001,0.803,26.12,,
B,2,62,10,5,Ethanol,A,0.001,0.808,3.903,,
B,2,69,10,5,Ethanol,A,0.001,0.81,24.028,,
BA,2,13,10,5,Ethanol,A,0.001,0.804,26.65,,
BA,2,26,10,5,Ethanol,A,0.001,0.804,25.065,,
W,2,16,10,5,Ethanol,A,0.001,0.808,24.95,,
W,2,41,10,5,Ethanol,A,0.001,0.808,25.784,,
A,2,8,11,1,Chloramphenicol,Chl_0.4,0.4,0.764,9.784,,
A,2,9,11,1,Chloramphenicol,Chl_0.4,0.4,0.746,11.964,,
B,2,62,11,1,Chloramphenicol,Chl_0.4,0.4,0.774,16.333,,
B,2,69,11,1,Chloramphenicol,Chl_0.4,0.4,0.768,14.04,,
