date,Exp,DC,Genotype,rep,aveCot,aveLeaf,ExpRep,DC_old
2023.07.28,4,0 CIP,W,1,0,100,4_1,0
2023.07.28,4,0 CIP,A,1,0,100,4_1,0
2023.07.28,4,0 CIP,B,1,0,100,4_1,0
2023.07.28,4,0 CIP,AB,1,0,100,4_1,0
2023.07.28,4,0 CIP,W,2,0,100,4_2,0
2023.07.28,4,0 CIP,A,2,0,100,4_2,0
2023.07.28,4,0 CIP,B,2,0,100,4_2,0
2023.07.28,4,0 CIP,AB,2,0,100,4_2,0
2023.07.28,4,0 CIP,W,3,0,100,4_3,0
2023.07.28,4,0 CIP,A,3,0,100,4_3,0
2023.07.28,4,0 CIP,B,3,0,100,4_3,0
2023.07.28,4,0 CIP,AB,3,0,100,4_3,0
2023.07.28,4,0 CIP,W,4,0,100,4_4,0
2023.07.28,4,0 CIP,A,4,0,100,4_4,0
2023.07.28,4,0 CIP,B,4,0,100,4_4,0
2023.07.28,4,0 CIP,AB,4,0,100,4_4,0
2023.07.28,4,0 CIP,W,5,0,100,4_5,0
2023.07.28,4,0 CIP,A,5,0,100,4_5,0
2023.07.28,4,0 CIP,B,5,0,100,4_5,0
2023.07.28,4,0 CIP,AB,5,0,100,4_5,0
2023.07.28,4,0 CIP,W,6,0,100,4_6,0
2023.07.28,4,0 CIP,A,6,0,100,4_6,0
2023.07.28,4,0 CIP,B,6,0,100,4_6,0
2023.07.28,4,0 CIP,AB,6,0,100,4_6,0
2023.07.28,4,0 CIP,W,7,0,100,4_7,0
2023.07.28,4,0 CIP,A,7,0,100,4_7,0
2023.07.28,4,0 CIP,B,7,0,100,4_7,0
2023.07.28,4,0 CIP,AB,7,0,100,4_7,0
2023.07.28,4,0 CIP,W,8,0,100,4_8,0
2023.07.28,4,0 CIP,A,8,0,100,4_8,0
2023.07.28,4,0 CIP,B,8,0,100,4_8,0
2023.07.28,4,0 CIP,AB,8,0,100,4_8,0
2023.04.26,2,0 CIP,W,1,0,100,2_1,0
2023.04.26,2,0 CIP,A,1,0,100,2_1,0
2023.04.26,2,0 CIP,B,1,0,100,2_1,0
2023.04.26,2,0 CIP,AB,1,0,100,2_1,0
2023.04.26,2,0 CIP,W,2,0,100,2_2,0
2023.04.26,2,0 CIP,A,2,0,100,2_2,0
2023.04.26,2,0 CIP,B,2,0,100,2_2,0
2023.04.26,2,0 CIP,AB,2,0,100,2_2,0
2023.04.26,2,0 CIP,W,3,0,100,2_3,0
2023.04.26,2,0 CIP,A,3,0,100,2_3,0
2023.04.26,2,0 CIP,B,3,0,100,2_3,0
2023.04.26,2,0 CIP,AB,3,0,100,2_3,0
