original_order,Genotype,F1,F2,plate,block,Drug,Conentration,DC,FvFm,root_mm
1,A,2,9,1,1,None,0,0,0.677,4.474
2,B,2,62,1,1,None,0,0,0.707,24.561
3,AB,2,13,1,1,None,0,0,0.705,24.923
4,W,2,6,1,1,None,0,0,,
5,AC1,8,NA,1,1,None,0,0,0.693,20.325
6,AC2,13,NA,1,1,None,0,0,0.695,24.461
7,BC1,17,NA,1,1,None,0,0,0.711,21.26
8,BC2,22,NA,1,1,None,0,0,0.685,5.786
9,B,2,62,2,2,None,0,0,0.78,23.398
10,AB,2,13,2,2,None,0,0,0.777,20.852
11,W,2,6,2,2,None,0,0,0.783,22.535
12,AC1,8,NA,2,2,None,0,0,0.771,20.755
13,AC2,13,NA,2,2,None,0,0,0.767,23.755
14,BC1,17,NA,2,2,None,0,0,0.782,21.483
15,BC2,22,NA,2,2,None,0,0,0.763,21.397
16,A,2,9,2,2,None,0,0,0.777,20.788
17,AB,2,13,3,3,None,0,0,0.73,22.919
18,W,2,6,3,3,None,0,0,0.721,27.394
19,AC1,8,NA,3,3,None,0,0,0.726,20.928
20,AC2,13,NA,3,3,None,0,0,0.719,26.167
21,BC1,17,NA,3,3,None,0,0,0.723,21.845
22,BC2,22,NA,3,3,None,0,0,0.737,13.123
23,A,2,9,3,3,None,0,0,0.711,21.483
24,B,2,62,3,3,None,0,0,0.707,24.198
25,W,2,6,4,4,None,0,0,0.699,23.246
26,AC1,8,NA,4,4,None,0,0,0.699,21.614
27,AC2,13,NA,4,4,None,0,0,0.71,24.692
28,BC1,17,NA,4,4,None,0,0,0.714,22.138
29,BC2,22,NA,4,4,None,0,0,0.706,20.739
30,A,2,9,4,4,None,0,0,0.701,20.302
31,B,2,62,4,4,None,0,0,0.713,14.8
32,AB,2,13,4,4,None,0,0,0.684,7.493
33,AC1,8,NA,5,5,None,0,0,0.726,20.993
34,AC2,13,NA,5,5,None,0,0,0.602,1.27
35,BC1,17,NA,5,5,None,0,0,0.717,22.796
36,BC2,22,NA,5,5,None,0,0,0.711,20.923
37,A,2,9,5,5,None,0,0,0.701,5.801
38,B,2,62,5,5,None,0,0,0.705,23.664
39,AB,2,13,5,5,None,0,0,0.718,24.824
40,W,2,6,5,5,None,0,0,0.711,20.626
41,AC2,13,NA,6,6,None,0,0,0.711,22.893
42,BC1,17,NA,6,6,None,0,0,0.728,24.56
43,BC2,22,NA,6,6,None,0,0,0.718,26.549
44,A,2,9,6,6,None,0,0,0.717,24.624
45,B,2,62,6,6,None,0,0,0.714,23.312
46,AB,2,13,6,6,None,0,0,0.722,18.362
47,W,2,6,6,6,None,0,0,0.699,24.664
48,AC1,8,NA,6,6,None,0,0,0.721,12.465
49,BC1,17,NA,7,7,None,0,0,0.719,21.943
50,BC2,22,NA,7,7,None,0,0,0.705,4.723
51,A,2,9,7,7,None,0,0,0.717,22.352
52,B,2,62,7,7,None,0,0,0.634,4.588
53,AB,2,13,7,7,None,0,0,0.72,24.433
54,W,2,6,7,7,None,0,0,0.713,23.421
55,AC1,8,NA,7,7,None,0,0,0.712,22.768
56,AC2,13,NA,7,7,None,0,0,0.704,26.044
57,BC2,22,NA,8,8,None,0,0,0.764,21.949
58,A,2,9,8,8,None,0,0,0.72,5.564
59,B,2,62,8,8,None,0,0,0.752,7.326
60,AB,2,13,8,8,None,0,0,0.659,3.594
61,W,2,6,8,8,None,0,0,0.762,23.612
62,AC1,8,NA,8,8,None,0,0,0.753,20.814
63,AC2,13,NA,8,8,None,0,0,0.736,6.566
64,BC1,17,NA,8,8,None,0,0,0.712,5.442
65,A,2,9,9,9,None,0,0,,
66,B,2,62,9,9,None,0,0,0.723,23.476
67,AB,2,13,9,9,None,0,0,0.715,22.325
68,W,2,6,9,9,None,0,0,0.71,21.053
69,AC1,8,NA,9,9,None,0,0,0.704,18.612
70,AC2,13,NA,9,9,None,0,0,0.704,21.149
71,BC1,17,NA,9,9,None,0,0,0.714,19.861
72,BC2,22,NA,9,9,None,0,0,0.71,19.618
73,B,2,62,10,10,None,0,0,0.719,26.406
74,AB,2,13,10,10,None,0,0,0.609,3.522
75,W,2,6,10,10,None,0,0,0.711,25.221
76,AC1,8,NA,10,10,None,0,0,0.714,22.824
77,AC2,13,NA,10,10,None,0,0,0.697,26.6
78,BC1,17,NA,10,10,None,0,0,0.704,20.994
79,BC2,22,NA,10,10,None,0,0,0.703,25.889
80,A,2,9,10,10,None,0,0,0.702,27.093
81,AB,2,13,11,11,None,0,0,0.685,0
82,W,2,6,11,11,None,0,0,0.723,21.795
83,AC1,8,NA,11,11,None,0,0,0.722,19.013
84,AC2,13,NA,11,11,None,0,0,0.721,23.24
85,BC1,17,NA,11,11,None,0,0,0.718,22.758
86,BC2,22,NA,11,11,None,0,0,0.711,23.886
87,A,2,9,11,11,None,0,0,0.641,5.67
88,B,2,62,11,11,None,0,0,0.711,23.005
89,W,2,6,12,12,None,0,0,0.72,24.731
90,AC1,8,NA,12,12,None,0,0,0.708,21.171
91,AC2,13,NA,12,12,None,0,0,0.727,25.08
92,BC1,17,NA,12,12,None,0,0,0.711,24.491
93,BC2,22,NA,12,12,None,0,0,0.708,19.073
94,A,2,9,12,12,None,0,0,0.698,3.741
