Genotype,Line,Experiment,Replicate,MockLineNum,NumPlants,Green,PercentGreen
A,Muts2A (2-33),Experiment 1,Rep1,Line1,50,9,18
A,Muts2A (2-8),Experiment 1,Rep1,Line2,50,13,26
A,Muts2A (2-9),Experiment 1,Rep1,Line3,50,13,26
AB,Muts2-AB (2-13),Experiment 1,Rep1,Line1,50,12,24
AB,Muts2-AB (2-26),Experiment 1,Rep1,Line2,50,5,10
AB,Muts2-AB (2-37),Experiment 1,Rep1,Line3,50,16,32
B,Muts2B (2-15),Experiment 1,Rep1,Line1,50,21,42
B,Muts2B (2-62),Experiment 1,Rep1,Line2,50,15,30
B,Muts2B (2-69),Experiment 1,Rep1,Line3,50,14,28
W,WT (2-16),Experiment 1,Rep1,Line1,50,38,76
W,WT (2-41),Experiment 1,Rep1,Line2,50,35,70
W,WT (2-56),Experiment 1,Rep1,Line3,50,35,70
A,Muts2A (2-33),Experiment 2,Rep1,Line1,50,2,4
A,Muts2A (2-8),Experiment 2,Rep1,Line2,50,2,4
A,Muts2A (2-9),Experiment 2,Rep1,Line3,50,5,10
A,Muts2A (2-33),Experiment 2,Rep2,Line1,50,1,2
A,Muts2A (2-8),Experiment 2,Rep2,Line2,50,2,4
A,Muts2A (2-9),Experiment 2,Rep2,Line3,50,5,10
A,Muts2A (2-33),Experiment 2,Rep3,Line1,50,1,2
A,Muts2A (2-8),Experiment 2,Rep3,Line2,50,8,16
A,Muts2A (2-9),Experiment 2,Rep3,Line3,50,6,12
AB,Muts2-AB (2-13),Experiment 2,Rep1,Line1,50,3,6
AB,Muts2-AB (2-26),Experiment 2,Rep1,Line2,50,3,6
AB,Muts2-AB (2-37),Experiment 2,Rep1,Line3,50,4,8
AB,Muts2-AB (2-13),Experiment 2,Rep2,Line1,50,2,4
AB,Muts2-AB (2-26),Experiment 2,Rep2,Line2,50,2,4
AB,Muts2-AB (2-37),Experiment 2,Rep2,Line3,50,4,8
AB,Muts2-AB (2-13),Experiment 2,Rep3,Line1,50,4,8
AB,Muts2-AB (2-26),Experiment 2,Rep3,Line2,50,2,4
AB,Muts2-AB (2-37),Experiment 2,Rep3,Line3,50,6,12
B,Muts2B (2-15),Experiment 2,Rep1,Line1,50,2,4
B,Muts2B (2-62),Experiment 2,Rep1,Line2,50,1,2
B,Muts2B (2-69),Experiment 2,Rep1,Line3,50,0,0
B,Muts2B (2-15),Experiment 2,Rep2,Line1,50,1,2
B,Muts2B (2-62),Experiment 2,Rep2,Line2,50,1,2
B,Muts2B (2-69),Experiment 2,Rep2,Line3,50,2,4
B,Muts2B (2-15),Experiment 2,Rep3,Line1,50,2,4
B,Muts2B (2-62),Experiment 2,Rep3,Line2,50,1,2
B,Muts2B (2-69),Experiment 2,Rep3,Line3,50,1,2
W,WT (2-16),Experiment 2,Rep1,Line1,50,45,90
W,WT (2-41),Experiment 2,Rep1,Line2,50,47,94
W,WT (2-56),Experiment 2,Rep1,Line3,50,45,90
W,WT (2-16),Experiment 2,Rep2,Line1,50,48,96
W,WT (2-41),Experiment 2,Rep2,Line2,50,43,86
W,WT (2-56),Experiment 2,Rep2,Line3,50,49,98
W,WT (2-16),Experiment 2,Rep3,Line1,50,47,94
W,WT (2-41),Experiment 2,Rep3,Line2,50,46,92
W,WT (2-56),Experiment 2,Rep3,Line3,50,47,94
A,Muts2A (2-33),Experiment 3,Rep1,Line1,50,2,4
A,Muts2A (2-8),Experiment 3,Rep1,Line2,50,0,0
A,Muts2A (2-9),Experiment 3,Rep1,Line3,50,3,6
A,Muts2A (2-33),Experiment 3,Rep2,Line1,50,1,2
A,Muts2A (2-8),Experiment 3,Rep2,Line2,50,1,2
A,Muts2A (2-9),Experiment 3,Rep2,Line3,50,0,0
A,Muts2A (2-33),Experiment 3,Rep3,Line1,50,1,2
A,Muts2A (2-8),Experiment 3,Rep3,Line2,50,1,2
A,Muts2A (2-9),Experiment 3,Rep3,Line3,50,2,4
AB,Muts2-AB (2-13),Experiment 3,Rep1,Line1,50,3,6
AB,Muts2-AB (2-26),Experiment 3,Rep1,Line2,50,2,4
AB,Muts2-AB (2-37),Experiment 3,Rep1,Line3,50,1,2
AB,Muts2-AB (2-13),Experiment 3,Rep2,Line1,50,0,0
AB,Muts2-AB (2-26),Experiment 3,Rep2,Line2,50,2,4
AB,Muts2-AB (2-37),Experiment 3,Rep2,Line3,50,1,2
AB,Muts2-AB (2-13),Experiment 3,Rep3,Line1,50,1,2
AB,Muts2-AB (2-26),Experiment 3,Rep3,Line2,50,0,0
AB,Muts2-AB (2-37),Experiment 3,Rep3,Line3,50,1,2
B,Muts2B (2-15),Experiment 3,Rep1,Line1,50,2,4
B,Muts2B (2-62),Experiment 3,Rep1,Line2,50,1,2
B,Muts2B (2-69),Experiment 3,Rep1,Line3,50,1,2
B,Muts2B (2-15),Experiment 3,Rep2,Line1,50,1,2
B,Muts2B (2-62),Experiment 3,Rep2,Line2,50,4,8
B,Muts2B (2-69),Experiment 3,Rep2,Line3,50,0,0
B,Muts2B (2-15),Experiment 3,Rep3,Line1,50,0,0
B,Muts2B (2-62),Experiment 3,Rep3,Line2,50,2,4
B,Muts2B (2-69),Experiment 3,Rep3,Line3,50,0,0
W,WT (2-16),Experiment 3,Rep1,Line1,50,45,90
W,WT (2-41),Experiment 3,Rep1,Line2,50,47,94
W,WT (2-56),Experiment 3,Rep1,Line3,50,47,94
W,WT (2-16),Experiment 3,Rep2,Line1,50,47,94
W,WT (2-41),Experiment 3,Rep2,Line2,50,48,96
W,WT (2-56),Experiment 3,Rep2,Line3,50,42,84
W,WT (2-16),Experiment 3,Rep3,Line1,50,48,96
W,WT (2-41),Experiment 3,Rep3,Line2,50,44,88
W,WT (2-56),Experiment 3,Rep3,Line3,50,42,84
A,Muts2A (2-8),Experiment 4,Rep1,Line1,45,4,8.9
A,Muts2A (2-8),Experiment 4,Rep1,Line1,45,6,13.3
A,Muts2A (2-8),Experiment 4,Rep1,Line1,20,1,5
A,Muts2A (2-9),Experiment 4,Rep1,Line2,45,0,0
A,Muts2A (2-9),Experiment 4,Rep1,Line2,45,0,0
A,Muts2A (2-9),Experiment 4,Rep1,Line2,45,4,8.9
A,Muts2A (2-33),Experiment 4,Rep1,Line3,45,1,2.2
A,Muts2A (2-33),Experiment 4,Rep1,Line3,45,5,11.1
A,Muts2A (2-33),Experiment 4,Rep1,Line3,45,4,8.9
AB,Muts2-AB (2-13),Experiment 4,Rep1,Line1,45,2,4.4
AB,Muts2-AB (2-13),Experiment 4,Rep1,Line1,45,2,4.4
AB,Muts2-AB (2-13),Experiment 4,Rep1,Line1,45,3,6.7
AB,Muts2-AB (2-26),Experiment 4,Rep1,Line2,45,2,4.4
AB,Muts2-AB (2-26),Experiment 4,Rep1,Line2,45,2,4.4
AB,Muts2-AB (2-26),Experiment 4,Rep1,Line2,45,0,0
AB,Muts2-AB (2-37),Experiment 4,Rep1,Line3,45,2,4.4
AB,Muts2-AB (2-37),Experiment 4,Rep1,Line3,45,1,2.2
AB,Muts2-AB (2-37),Experiment 4,Rep1,Line3,45,1,2.2
B,Muts2B (2-62),Experiment 4,Rep1,Line1,45,2,4.4
B,Muts2B (2-62),Experiment 4,Rep1,Line1,45,9,20
B,Muts2B (2-62),Experiment 4,Rep1,Line1,45,7,15.6
