File,Treatment,Genotype,Rep,same_neg_R1_lower,same_neg_R1_higher,same_pos_R1_lower,same_pos_R1_higher,outward,inward_too_far,same_neg_R1_lower_cut,same_neg_R1_higher_cut,same_pos_R1_lower_cut,same_pos_R1_higher_cut,outward_cut,inward_too_far_cut,MappedPairs
C1_CKDN230028841-1A_HGKLFDSX7_L1.mito.discord.txt,Control,WT,1,145,160,144,112,218,229,5,7,12,6,10,5,2091280
C2_CKDN230028842-1A_HGKLFDSX7_L1.mito.discord.txt,Control,mutS2A/B,1,166,179,144,153,236,299,8,7,13,3,3,14,1897597
C3_CKDN230028843-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,WT,1,880,882,2212,2147,34174,1490,73,91,81,92,15442,20,2272498
C4_CKDN230028844-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,mutS2A/B,1,1109,1086,4084,4191,64762,1958,121,104,101,131,35334,13,2187103
C5_CKDN230028845-1A_HGKLFDSX7_L1.mito.discord.txt,Control,WT,2,201,138,183,146,214,256,9,9,23,8,7,3,2341124
C6_CKDN230028846-1A_HGKLFDSX7_L1.mito.discord.txt,Control,mutS2A/B,2,169,101,111,126,198,227,10,7,11,2,17,6,2149718
C7_CKDN230028847-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,WT,2,960,956,2950,2968,47404,1802,102,118,99,140,21532,6,2715839
C8_CKDN230028848-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,mutS2A/B,2,992,1004,3181,3130,49879,1671,138,125,106,83,25251,2,2317173
C9_CKDN230028849-1A_HGKLFDSX7_L1.mito.discord.txt,Control,WT,3,174,170,112,138,219,264,9,7,3,5,8,17,1770721
C10_CKDN230028850-1A_HGKLFDSX7_L1.mito.discord.txt,Control,mutS2A/B,3,160,157,140,141,244,241,2,15,8,6,16,3,2172229
C11_CKDN230028851-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,WT,3,980,987,1861,1792,30753,1573,99,121,70,87,11921,7,3092342
C12_CKDN230028852-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,mutS2A/B,3,763,679,2084,2012,30663,1314,99,87,72,79,14045,0,2774835
C17_CKDN230028853-1A_HGKLFDSX7_L1.mito.discord.txt,Control,WT,4,114,119,102,89,166,150,2,7,10,4,0,0,1852004
C18_CKDN230028854-1A_HGKLFDSX7_L1.mito.discord.txt,Control,mutS2A/B,4,113,149,110,111,160,167,2,7,5,4,0,2,1942652
C19_CKDN230028855-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,WT,4,1058,1114,3550,3349,55208,1862,92,121,125,102,26560,11,2287650
C20_CKDN230028856-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,mutS2A/B,4,890,836,3441,3498,54005,1538,104,104,105,117,28976,3,1608307
C21_CKDN230028857-1A_HGKLFDSX7_L1.mito.discord.txt,Control,WT,5,180,197,143,139,242,282,6,2,11,6,22,10,1827238
C22_CKDN230028858-1A_HGKLFDSX7_L1.mito.discord.txt,Control,mutS2A/B,5,160,173,139,142,233,266,4,6,7,4,27,4,2076275
C23_CKDN230028859-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,WT,5,1189,1204,4334,4239,69387,2126,149,139,162,139,35719,9,1963525
C24_CKDN230028860-1A_HGKLFDSX7_L1.mito.discord.txt,Cipro,mutS2A/B,5,1040,1017,4876,4730,71550,1850,82,87,108,67,45459,7,1313293
