OverlapSize	Count
0	288
1	265
2	133
3	86
4	142
5	131
6	133
7	174
8	255
9	349
10	620
11	423
12	555
13	870
14	519
15	329
16	405
17	512
18	369
19	86
20	165
21	128
22	127
23	83
24	381
25	91
26	240
27	29
28	40
29	278
30	13
31	94
32	5
33	19
34	10
35	2097
36	152
37	16
38	9
39	3
41	1
42	12
43	2
44	15
45	2
46	2
47	13
48	6
49	7
50	7
51	13
52	8
54	85
55	1
56	9
58	88
59	5
61	3
62	8
64	7
68	3
73	1
74	1
76	2
78	2
80	1
81	1
82	262
83	1
84	1
85	1
87	16
88	5
90	49
91	10
95	1
97	186
106	1
114	1
120	1
125	1
126	1
129	1
130	3
131	1
143	1
