Treatment	Genotype	Overlap	Frequency	Simulation
Control	WT	0	0.24390243902439	0.455147302217809
Control	WT	1	0.138211382113821	0.225399977932252
Control	WT	2	0.024390243902439	0.0876310272536688
Control	WT	3	0.0650406504065041	0.0727132296149178
Control	WT	4	0.016260162601626	0.0453933576078561
Control	WT	5	0.0569105691056911	0.0247820809886351
Control	WT	6	0.0650406504065041	0.019640295707823
Control	WT	7	0.0487804878048781	0.0138144102394351
Control	WT	8	0.0487804878048781	0.0116959064327485
Control	WT	9	0.016260162601626	0.00849608297473243
Control	WT	10	0.024390243902439	0.00601346132627165
Control	WT	11	0.0487804878048781	0.0050866159108463
Control	WT	12	0.0569105691056911	0.00380668652763985
Control	WT	13	0.024390243902439	0.00332119607194086
Control	WT	14	0.024390243902439	0.00247158777446762
Control	WT	15	0.00813008130081301	0.0023943506565155
Control	WT	16	0.016260162601626	0.00157784398102174
Control	WT	17	0.00813008130081301	0.0010482180293501
Control	WT	18	0.00813008130081301	0.00088270991945272
Control	WT	19	0	0.000871676045459561
Control	WT	20	0	0.000684100187575858
Control	WT	21	0.00813008130081301	0.000684100187575858
Control	WT	22	0	0.000518592077678473
Control	WT	23	0.00813008130081301	0.000319982345801611
Control	WT	24	0.00813008130081301	0.000198609731876862
Control	WT	25	0	0.000231711353856339
Control	WT	26	0	0.000253779101842657
Control	WT	27	0	0.000143440361911067
Control	WT	28	0	0.000121372613924749
Control	WT	29	0.00813008130081301	0.000165508109897385
Control	WT	30	0	0.00011033873993159
Control	mutS2A/B	0	0.263157894736842	0.455147302217809
Control	mutS2A/B	1	0.12280701754386	0.225399977932252
Control	mutS2A/B	2	0.0701754385964912	0.0876310272536688
Control	mutS2A/B	3	0.043859649122807	0.0727132296149178
Control	mutS2A/B	4	0.043859649122807	0.0453933576078561
Control	mutS2A/B	5	0.0350877192982456	0.0247820809886351
Control	mutS2A/B	6	0.0701754385964912	0.019640295707823
Control	mutS2A/B	7	0.0263157894736842	0.0138144102394351
Control	mutS2A/B	8	0.0350877192982456	0.0116959064327485
Control	mutS2A/B	9	0.0263157894736842	0.00849608297473243
Control	mutS2A/B	10	0.0350877192982456	0.00601346132627165
Control	mutS2A/B	11	0.0175438596491228	0.0050866159108463
Control	mutS2A/B	12	0.0175438596491228	0.00380668652763985
Control	mutS2A/B	13	0.0350877192982456	0.00332119607194086
Control	mutS2A/B	14	0.0263157894736842	0.00247158777446762
