OverlapSize	Count
0	41250
1	20428
2	7942
3	6590
4	4114
5	2246
6	1780
7	1252
8	1060
9	770
10	545
11	461
12	345
13	301
14	224
15	217
16	143
17	95
18	80
19	79
20	62
21	62
22	47
23	29
24	18
25	21
26	23
27	13
28	11
29	15
30	10
31	12
32	8
33	8
34	11
35	2
36	7
37	5
38	5
40	5
41	2
42	3
43	2
44	1
45	2
46	5
47	2
49	2
50	1
51	2
52	1
53	2
54	2
55	1
56	1
57	4
58	2
59	4
60	1
61	1
62	2
63	1
64	3
66	3
67	1
68	2
69	1
71	1
73	2
75	2
76	2
77	1
78	2
79	1
80	2
82	2
85	1
88	1
89	1
91	2
92	1
93	1
98	1
99	1
100	1
101	2
102	1
106	1
107	2
108	1
109	2
110	1
111	1
115	1
117	2
118	1
120	1
123	2
124	1
130	2
133	3
141	1
143	1
144	1
145	1
148	2
150	15
151	3
152	1
153	1
154	1
163	2
170	1
174	1
177	1
191	1
194	1
196	1
204	1
210	1
212	1
213	1
214	1
227	1
232	1
236	1
245	1
249	1
252	1
253	2
262	1
263	2
267	1
269	1
277	1
278	1
284	2
289	1
291	1
293	1
295	1
296	1
299	1
300	1
306	1
310	166
