OverlapSize	Count
0	357
1	429
2	189
3	131
4	144
5	128
6	90
7	130
8	177
9	252
10	278
11	404
12	594
13	457
14	415
15	341
16	172
17	304
18	71
19	229
20	105
21	40
22	59
23	28
24	179
25	94
26	7
27	33
28	31
29	72
30	90
31	143
32	11
33	9
34	10
35	23
36	5
37	11
38	3
39	13
40	6
41	16
42	126
43	9
44	10
45	2
46	3
47	7
48	5
49	11
50	5
51	2
52	55
53	3
54	1
55	9
56	8
57	38
58	3
59	3
60	1
61	2
62	1
63	20
65	11
66	2
67	24
68	1
70	1
71	31
72	9
73	1
74	1
75	61
77	5
78	1
79	1
81	1
82	3
85	1
86	4
87	5
88	9
89	2
90	12
91	49
93	7
94	4
95	1
96	9
97	2
98	7
99	54
100	50
101	4
102	10
103	1
105	1
106	2
107	12
108	2
110	4
111	1
112	11
113	3
114	10
115	4
117	19
118	13
119	4
121	8
122	2
123	2
125	3
126	4
127	14
128	11
129	4
131	5
133	1
134	15
135	5
136	2
139	3
140	1
141	3
142	5
143	3
144	16
148	4
