Treatment	Genotype	Overlap	Frequency	Simulation
Control	WT	0	0.284431137724551	0.407620030975736
Control	WT	1	0.092814371257485	0.216809499225607
Control	WT	2	0.0688622754491018	0.0897883324728962
Control	WT	3	0.031437125748503	0.0781208053691275
Control	WT	4	0.0359281437125748	0.0500980898296335
Control	WT	5	0.0464071856287425	0.0290758905524006
Control	WT	6	0.0553892215568862	0.0245224574083634
Control	WT	7	0.0434131736526946	0.0170160041300981
Control	WT	8	0.0523952095808383	0.0151058337635519
Control	WT	9	0.0329341317365269	0.0117294785751162
Control	WT	10	0.0374251497005988	0.00892101187403201
Control	WT	11	0.0224550898203593	0.00762003097573567
Control	WT	12	0.0239520958083832	0.00620547237996902
Control	WT	13	0.0134730538922156	0.00525554981930821
Control	WT	14	0.0224550898203593	0.00462570986060919
Control	WT	15	0.0209580838323353	0.00375838926174497
Control	WT	16	0.0179640718562874	0.00319050077439339
Control	WT	17	0.00748502994011976	0.00242643262777491
Control	WT	18	0.00748502994011976	0.00234383066597832
Control	WT	19	0.0104790419161677	0.00194114610221993
Control	WT	20	0.00898203592814371	0.00159008776458441
Control	WT	21	0.00598802395209581	0.00130098089829633
Control	WT	22	0.0029940119760479	0.00133195663397006
Control	WT	23	0.00598802395209581	0.00103252452245741
Control	WT	24	0.0029940119760479	0.000949922560660816
Control	WT	25	0	0.000815694372741353
Control	WT	26	0.00598802395209581	0.000619514713474445
Control	WT	27	0	0.000567888487351575
Control	WT	28	0.00149700598802395	0.000526587506453278
Control	WT	29	0.00149700598802395	0.000567888487351575
Control	WT	30	0.00149700598802395	0.00045431078988126
Control	mutS2A/B	0	0.330578512396694	0.407620030975736
Control	mutS2A/B	1	0.117079889807163	0.216809499225607
Control	mutS2A/B	2	0.0550964187327824	0.0897883324728962
Control	mutS2A/B	3	0.0399449035812672	0.0781208053691275
Control	mutS2A/B	4	0.0358126721763085	0.0500980898296335
Control	mutS2A/B	5	0.0426997245179063	0.0290758905524006
Control	mutS2A/B	6	0.0413223140495868	0.0245224574083634
Control	mutS2A/B	7	0.0413223140495868	0.0170160041300981
Control	mutS2A/B	8	0.0371900826446281	0.0151058337635519
Control	mutS2A/B	9	0.0275482093663912	0.0117294785751162
Control	mutS2A/B	10	0.0316804407713499	0.00892101187403201
Control	mutS2A/B	11	0.012396694214876	0.00762003097573567
Control	mutS2A/B	12	0.0261707988980716	0.00620547237996902
Control	mutS2A/B	13	0.0220385674931129	0.00525554981930821
Control	mutS2A/B	14	0.0192837465564738	0.00462570986060919
Control	mutS2A/B	15	0.0179063360881543	0.00375838926174497
Control	mutS2A/B	16	0.0110192837465565	0.00319050077439339
Control	mutS2A/B	17	0.0068870523415978	0.00242643262777491
Control	mutS2A/B	18	0.00826446280991736	0.00234383066597832
Control	mutS2A/B	19	0.00413223140495868	0.00194114610221993
Control	mutS2A/B	20	0.0068870523415978	0.00159008776458441
Control	mutS2A/B	21	0.00413223140495868	0.00130098089829633
Control	mutS2A/B	22	0.0068870523415978	0.00133195663397006
Control	mutS2A/B	23	0.00137741046831956	0.00103252452245741
Control	mutS2A/B	24	0	0.000949922560660816
Control	mutS2A/B	25	0.00550964187327824	0.000815694372741353
Control	mutS2A/B	26	0.00275482093663912	0.000619514713474445
Control	mutS2A/B	27	0.00275482093663912	0.000567888487351575
Control	mutS2A/B	28	0.00413223140495868	0.000526587506453278
Control	mutS2A/B	29	0.00550964187327824	0.000567888487351575
Control	mutS2A/B	30	0.00275482093663912	0.00045431078988126
Cipro	WT	0	0.0578358208955224	0.407620030975736
Cipro	WT	1	0.0439469320066335	0.216809499225607
Cipro	WT	2	0.0266376451077944	0.0897883324728962
Cipro	WT	3	0.0161691542288557	0.0781208053691275
Cipro	WT	4	0.0178275290215589	0.0500980898296335
Cipro	WT	5	0.0185530679933665	0.0290758905524006
Cipro	WT	6	0.0169983416252073	0.0245224574083634
Cipro	WT	7	0.021455223880597	0.0170160041300981
Cipro	WT	8	0.0377280265339967	0.0151058337635519
Cipro	WT	9	0.0396973466003317	0.0117294785751162
Cipro	WT	10	0.043014096185738	0.00892101187403201
Cipro	WT	11	0.0576285240464345	0.00762003097573567
Cipro	WT	12	0.0708955223880597	0.00620547237996902
Cipro	WT	13	0.0627072968490879	0.00525554981930821
Cipro	WT	14	0.0615671641791045	0.00462570986060919
Cipro	WT	15	0.0560737976782753	0.00375838926174497
Cipro	WT	16	0.0333747927031509	0.00319050077439339
