OverlapSize	Count
0	39478
1	20998
2	8696
3	7566
4	4852
5	2816
6	2375
7	1648
8	1463
9	1136
10	864
11	738
12	601
13	509
14	448
15	364
16	309
17	235
18	227
19	188
20	154
21	126
22	129
23	100
24	92
25	79
26	60
27	55
28	51
29	55
30	44
31	29
32	36
33	25
34	21
35	26
36	14
37	15
38	12
39	17
40	8
41	10
42	12
43	10
44	5
45	6
46	5
47	7
48	5
49	4
50	5
52	3
54	1
55	2
56	4
57	1
58	3
59	3
60	3
61	1
62	1
63	1
64	8
65	2
66	1
68	2
69	2
70	2
71	2
72	2
73	1
74	4
75	1
78	1
81	4
83	1
87	3
88	2
89	2
90	1
91	1
92	1
94	1
95	1
97	1
98	2
100	2
102	1
104	2
105	1
106	1
111	2
112	1
113	2
116	1
118	1
120	3
121	1
125	1
131	1
138	3
141	3
143	1
145	1
147	2
148	2
149	2
150	3
151	2
152	1
153	1
154	1
156	1
158	2
167	1
171	1
209	1
212	1
227	1
273	1
