Position	C10_Mut_Control_3	C11_WT_Cipro_3	C12_Mut_Cipro_3	C17_WT_Control_4	C18_Mut_Control_4	C19_WT_Cipro_4	C01_WT_Control_1	C20_Mut_Cipro_4	C21_WT_Control_5	C22_Mut_Control_5	C23_WT_Cipro_5	C24_Mut_Cipro_5	C02_Mut_Control_1	C03_WT_Cipro_1	C04_Mut_Cipro_1	C05_WT_Control_2	C06_Mut_Control_2	C07_WT_Cipro_2	C08_Mut_Cipro_2	C09_WT_Control_3
50	346.94	610.41	535.23	334.48	318.77	428.72	349.17	276.58	301.97	352.35	384.91	208	315.2	416.62	364.36	372.57	346.94	459.32	388.98	293.92
150	1021.91	1665.48	1497.21	906.78	910.12	1223.03	978.45	826.51	879.38	999.75	1035.29	597.74	908.01	1119.78	1078.67	1076.74	963.84	1330.03	1185.05	796.33
250	1250.4	1992.57	1872.1	1021.19	1029.84	1487.54	1176.3	1087.02	1054.2	1198.64	1265.08	752.26	1055.61	1347.48	1360.41	1391.58	1198.73	1749.34	1556.27	985.83
350	1336.29	2310.12	2174.78	1122.87	1167.97	1748.54	1298.59	1300.67	1149.01	1315.97	1540.51	892.57	1180.35	1579.22	1597.18	1497.37	1394.59	2078.89	1806.49	1163.01
450	1396.5	2578.51	2330.03	1224.1	1261.65	1952.9	1440.34	1375.95	1303.59	1432.52	1705.11	981.42	1269.46	1792.52	1831.27	1591.87	1417.33	2288.62	2014.65	1273.7
550	1477.3	2720.74	2503.28	1253.19	1298.21	2042.04	1485.77	1423.02	1371.31	1499.75	1801.25	974.64	1382.67	1938.08	1907.43	1654.09	1478.69	2452.53	2152.64	1311.9
650	1644.48	2893.44	2737.35	1328.19	1426.47	2180.8	1595.33	1526.51	1420.66	1556.1	1946.95	1064.34	1508.58	2081.17	2058.52	1773.24	1590.53	2606.21	2248.42	1376.42
750	1609.44	2785.7	2714.73	1315.1	1362.37	2126.32	1517.41	1527.6	1354.45	1538.48	1913.01	1069.92	1429.06	1959.8	1976.72	1656.8	1521.79	2616.71	2157.07	1288.52
850	1571.11	2728.89	2614.8	1276.76	1341.55	2167.36	1475.46	1522.57	1281.13	1525.41	1991.04	1023.1	1394.31	1994.23	1935.59	1648.96	1514.23	2595.57	2122.94	1309.94
950	1509.99	2855.17	2549.21	1286.77	1356.48	2204.26	1483.69	1521.73	1229.81	1443.5	2057.89	1042.76	1290.16	2044.77	2018.06	1663	1493.8	2555.35	2124.41	1305.73
1050	1412.59	2881.82	2591.98	1229.85	1298.85	2226.6	1400.86	1595.69	1178.69	1393.08	2065.35	1156.09	1212.09	1980.5	2051.71	1616.69	1449.99	2624.86	2242.67	1225.4
1150	1442.07	2919.97	2681.66	1183.38	1261.27	2348.52	1399.81	1736.72	1201.55	1370.73	2155.03	1239.62	1203.31	2097.05	2138.36	1667.78	1424.73	2723.43	2422.21	1177.33
1250	1524.61	3113.65	2827.38	1250.33	1415.33	2516.52	1467.87	1923	1264.8	1446.31	2385.77	1397.39	1253.16	2261.69	2365.89	1689.53	1452.85	2895.51	2546.13	1213.14
1350	1525.32	3246.84	2879.12	1227.07	1391.6	2607.22	1458.42	2008.07	1229.68	1481	2455.56	1453.91	1241.7	2257.66	2416.5	1639.86	1466.89	2988	2598.03	1219.92
1450	1523.95	3327.19	3012.38	1303.8	1386.49	2742.32	1486.2	2080.44	1308.2	1502.68	2647.19	1549.89	1281.79	2313.88	2532.43	1694.23	1510.39	2987.17	2820.32	1278.26
1550	1515	3417.99	2993.59	1307.73	1398.88	2801.33	1467.52	2117.72	1299.94	1435.91	2788.88	1584.88	1317.7	2314.1	2611.6	1664.72	1526.45	3006.2	2820.29	1267.44
1650	1662.73	3521.82	3082.36	1345.03	1378.19	2850.69	1542.66	2139.55	1334.73	1462.96	2745.09	1735.43	1336.14	2371.37	2684.74	1673.76	1488.12	3128.32	2862.95	1288.26
1750	1581.63	3329.61	3113.61	1355.12	1339.25	2818.18	1500.1	2156.33	1283.92	1489.89	2758.37	1765.85	1304.87	2427.16	2711.11	1639.4	1439.45	3073.78	2889.91	1232.74
1850	1555.22	3400.54	3143.86	1382.54	1361.12	2979.74	1500.05	2238.03	1297.48	1528.58	2784.79	1697.8	1387.83	2475.69	2748.73	1645.35	1516.61	3214.18	2910.15	1251.24
1950	1571.78	3465.77	3207.68	1358.72	1389.94	2972.39	1503.96	2285.56	1269.33	1539.02	2833.31	1655.06	1407.17	2516.81	2703.32	1685.6	1514.64	3259.22	2846.1	1227.75
2050	1530.33	3409.32	3177.37	1378.56	1392.48	2919.58	1454.97	2291.77	1246.03	1510.2	2746.25	1658.43	1395.36	2548.44	2733.78	1655.47	1557.32	3296.8	2848.06	1187.35
2150	1507.74	3428.64	3196.64	1341.78	1421.62	2880.87	1482.09	2276.03	1254.1	1467.97	2773.83	1736.95	1384.48	2499.65	2779.01	1636.72	1550.46	3405.95	2868.38	1193.95
