Position	Read_Count
50	0
100	0
150	0
200	0
250	0
300	0
350	0
400	0
450	0
500	0
550	0
600	0
650	0
700	0
750	0
800	0
850	0
900	0
950	0
1000	0
1050	10
1100	12
1150	9
1200	23
1250	24
1300	12
1350	13
1400	10
1450	6
1500	12
1550	14
1600	16
1650	14
1700	15
1750	7
1800	18
1850	11
1900	38
1950	41
2000	60
2050	41
2100	39
2150	36
2200	37
2250	20
2300	13
2350	11
2400	15
2450	11
2500	11
2550	26
2600	56
2650	73
2700	35
2750	36
2800	42
2850	30
2900	31
2950	33
3000	34
3050	23
3100	26
3150	49
3200	68
3250	28
3300	53
3350	46
3400	42
3450	60
3500	26
3550	29
3600	56
3650	47
3700	60
3750	67
3800	53
3850	30
3900	53
3950	76
4000	67
4050	79
4100	110
4150	94
4200	111
4250	95
4300	75
4350	58
4400	86
4450	80
4500	90
4550	93
4600	105
4650	69
4700	23
4750	16
4800	13
4850	12
4900	13
4950	13
5000	10
5050	14
5100	18
5150	12
5200	16
5250	17
5300	13
5350	9
5400	14
5450	15
5500	7
5550	11
5600	11
5650	9
5700	12
5750	8
5800	14
5850	17
5900	7
5950	12
6000	11
6050	12
6100	7
6150	4
6200	3
6250	4
6300	6
6350	5
6400	9
6450	5
6500	4
6550	4
6600	7
6650	13
6700	13
6750	10
6800	11
6850	12
6900	18
6950	7
7000	15
7050	13
7100	11
7150	7
7200	11
7250	14
7300	26
7350	31
7400	34
7450	39
7500	36
7550	52
7600	38
7650	49
7700	60
7750	66
7800	60
7850	52
7900	34
7950	33
8000	14
8050	25
8100	27
8150	17
8200	7
8250	31
8300	37
8350	44
8400	34
8450	32
8500	21
8550	31
8600	24
8650	64
8700	47
8750	67
8800	112
8850	97
8900	24
8950	27
9000	17
9050	25
9100	37
9150	29
9200	32
9250	22
9300	18
9350	19
9400	13
9450	18
9500	17
9550	11
9600	6
9650	7
9700	10
9750	19
9800	29
9850	24
9900	23
9950	29
10000	19
10050	20
10100	26
10150	31
10200	24
10250	40
10300	23
10350	18
10400	35
10450	33
10500	39
10550	42
10600	31
10650	17
10700	24
10750	13
10800	7
10850	10
10900	17
10950	17
11000	11
11050	5
11100	6
11150	1
11200	5
11250	4
11300	3
11350	9
11400	7
11450	10
11500	3
11550	8
11600	3
11650	6
11700	9
11750	8
11800	2
11850	2
11900	3
11950	4
12000	6
12050	13
12100	10
12150	15
12200	10
12250	10
12300	6
12350	6
12400	8
12450	4
12500	4
12550	4
12600	2
12650	6
12700	3
12750	6
12800	4
12850	1
12900	4
12950	3
13000	2
13050	3
13100	1
13150	4
13200	1
13250	2
13300	7
13350	0
13400	1
13450	2
13500	1
13550	0
13600	0
13650	2
13700	3
13750	1
13800	2
13850	1
13900	2
13950	3
14000	3
14050	2
14100	2
14150	1
14200	3
14250	3
14300	7
14350	1
14400	1
14450	4
14500	6
14550	4
14600	13
14650	24
14700	25
14750	26
14800	31
14850	5
14900	9
14950	4
15000	4
15050	4
15100	8
15150	9
15200	7
15250	8
15300	14
15350	10
15400	15
15450	18
15500	25
15550	32
15600	26
15650	23
15700	9
15750	14
15800	6
15850	5
15900	7
15950	6
16000	3
16050	6
16100	5
16150	1
16200	7
16250	2
16300	3
16350	3
16400	4
16450	2
16500	4
16550	5
16600	10
16650	3
16700	7
16750	4
16800	1
16850	11
16900	9
16950	6
17000	4
17050	7
17100	10
17150	9
17200	6
17250	11
17300	7
17350	4
17400	10
17450	2
17500	3
17550	3
17600	1
17650	5
17700	1
17750	4
17800	1
17850	4
17900	2
17950	6
18000	3
18050	3
18100	4
18150	13
18200	15
18250	13
18300	18
18350	9
18400	21
18450	14
18500	2
18550	4
18600	9
18650	4
18700	0
18750	1
18800	3
18850	4
18900	5
18950	4
19000	8
19050	4
19100	3
19150	2
19200	4
19250	3
19300	7
19350	3
19400	2
19450	2
19500	3
19550	4
19600	6
19650	5
19700	3
19750	3
19800	2
19850	4
19900	5
19950	3
20000	3
20050	5
20100	2
20150	4
20200	7
20250	7
20300	5
20350	5
20400	8
20450	8
20500	8
20550	7
20600	7
20650	4
20700	6
20750	7
20800	13
20850	9
20900	10
20950	7
21000	7
21050	4
21100	2
21150	5
21200	3
21250	0
21300	2
21350	0
21400	5
21450	3
21500	3
21550	3
21600	5
21650	5
21700	6
21750	2
21800	6
21850	0
21900	2
21950	2
22000	1
22050	1
22100	1
22150	0
22200	2
22250	0
22300	1
22350	1
22400	2
22450	0
22500	0
22550	4
22600	4
22650	2
22700	2
22750	3
22800	0
22850	1
22900	2
22950	3
23000	3
23050	1
23100	2
23150	3
23200	2
23250	4
23300	5
23350	8
23400	14
23450	8
23500	3
23550	5
23600	10
23650	8
23700	5
23750	3
23800	7
23850	1
23900	8
23950	3
24000	3
24050	6
24100	5
24150	6
24200	6
24250	12
24300	5
24350	6
24400	7
24450	9
24500	4
24550	8
24600	7
24650	5
24700	3
24750	12
24800	11
24850	2
24900	5
24950	4
25000	8
25050	9
25100	5
25150	2
25200	1
25250	7
25300	0
25350	5
25400	5
25450	1
25500	2
25550	2
25600	1
25650	12
25700	5
25750	2
25800	4
25850	7
25900	12
25950	11
26000	8
26050	2
26100	11
26150	6
26200	8
26250	2
26300	9
26350	8
26400	3
26450	4
26500	7
26550	3
26600	7
26650	8
26700	3
26750	5
26800	6
26850	1
26900	8
26950	1
27000	2
27050	2
27100	0
27150	6
27200	3
27250	5
27300	3
27350	1
27400	2
27450	3
27500	1
27550	1
27600	1
27650	3
27700	8
27750	5
27800	6
27850	3
27900	3
27950	4
28000	4
28050	0
28100	1
28150	3
28200	5
28250	4
28300	4
28350	4
28400	8
28450	7
28500	4
28550	3
28600	3
28650	2
28700	0
28750	1
28800	3
28850	2
28900	2
28950	2
29000	2
29050	4
29100	5
29150	0
29200	1
29250	3
29300	0
29350	1
29400	2
29450	2
29500	1
29550	4
29600	3
29650	3
29700	5
29750	5
29800	3
29850	1
29900	4
29950	4
30000	2
30050	4
30100	3
30150	2
30200	2
30250	4
30300	2
30350	7
30400	15
30450	7
30500	6
30550	8
30600	9
30650	13
30700	6
30750	6
30800	6
30850	3
30900	6
30950	8
31000	10
31050	1
31100	4
31150	5
31200	2
31250	7
31300	7
31350	2
31400	1
31450	2
31500	6
31550	5
31600	1
31650	1
31700	4
31750	3
31800	3
31850	1
31900	2
31950	2
32000	4
32050	4
32100	1
