Position	Read_Count
50	0
100	0
150	0
200	0
250	0
300	0
350	0
400	0
450	0
500	0
550	0
600	0
650	0
700	0
750	0
800	0
850	0
900	0
950	0
1000	0
1050	27
1100	34
1150	31
1200	70
1250	75
1300	57
1350	42
1400	22
1450	20
1500	24
1550	40
1600	41
1650	30
1700	25
1750	37
1800	23
1850	30
1900	108
1950	131
2000	156
2050	127
2100	116
2150	79
2200	64
2250	55
2300	39
2350	34
2400	44
2450	46
2500	56
2550	85
2600	120
2650	155
2700	125
2750	104
2800	91
2850	78
2900	65
2950	82
3000	103
3050	90
3100	107
3150	152
3200	247
3250	107
3300	158
3350	151
3400	118
3450	158
3500	88
3550	97
3600	166
3650	175
3700	182
3750	166
3800	132
3850	95
3900	144
3950	232
4000	233
4050	295
4100	316
4150	338
4200	295
4250	301
4300	206
4350	130
4400	231
4450	295
4500	286
4550	257
4600	242
4650	129
4700	69
4750	46
4800	23
4850	23
4900	24
4950	21
5000	28
5050	26
5100	38
5150	33
5200	40
5250	34
5300	24
5350	32
5400	40
5450	21
5500	21
5550	20
5600	25
5650	37
5700	27
5750	18
5800	32
5850	30
5900	25
5950	20
6000	21
6050	8
6100	13
6150	11
6200	11
6250	12
6300	11
6350	17
6400	18
6450	11
6500	11
6550	9
6600	6
6650	24
6700	34
6750	33
6800	45
6850	33
6900	27
6950	38
7000	43
7050	33
7100	19
7150	23
7200	39
7250	40
7300	49
7350	65
7400	65
7450	106
7500	112
7550	135
7600	130
7650	142
7700	155
7750	172
7800	160
7850	149
7900	117
7950	78
8000	48
8050	49
8100	58
8150	60
8200	24
8250	90
8300	78
8350	85
8400	98
8450	92
8500	68
8550	101
8600	109
8650	166
8700	163
8750	214
8800	334
8850	354
8900	75
8950	68
9000	72
9050	83
9100	90
9150	110
9200	65
9250	83
9300	54
9350	37
9400	39
9450	49
9500	51
9550	25
9600	30
9650	16
9700	35
9750	53
9800	70
9850	64
9900	92
9950	71
10000	57
10050	52
10100	61
10150	47
10200	59
10250	83
10300	54
10350	49
10400	111
10450	123
10500	156
10550	156
10600	67
10650	52
10700	63
10750	35
10800	25
10850	20
10900	36
10950	23
11000	17
11050	7
11100	10
11150	4
11200	17
11250	21
11300	14
11350	16
11400	17
11450	26
11500	17
11550	29
11600	20
11650	19
11700	23
11750	18
11800	8
11850	11
11900	4
11950	10
12000	30
12050	33
12100	26
12150	31
12200	27
12250	24
12300	12
12350	8
12400	13
12450	9
12500	11
12550	4
12600	9
12650	8
12700	11
12750	5
12800	7
12850	2
12900	12
12950	10
13000	7
13050	3
13100	3
13150	1
13200	3
13250	3
13300	4
13350	4
13400	0
13450	4
13500	3
13550	8
13600	2
13650	5
13700	5
13750	6
13800	4
13850	4
13900	4
13950	6
14000	6
14050	8
14100	3
14150	6
14200	11
14250	13
14300	8
14350	5
14400	5
14450	9
14500	8
14550	7
14600	17
14650	45
14700	64
14750	56
14800	46
14850	7
14900	9
14950	4
15000	5
15050	4
15100	5
15150	5
15200	20
15250	19
15300	19
15350	27
15400	20
15450	22
15500	42
15550	48
15600	63
15650	42
15700	27
15750	15
15800	20
15850	13
15900	9
15950	6
16000	7
16050	3
16100	7
16150	5
16200	4
16250	7
16300	2
16350	2
16400	5
16450	7
16500	10
16550	5
16600	6
16650	6
16700	10
16750	6
16800	5
16850	7
16900	11
16950	8
17000	9
17050	10
17100	11
17150	8
17200	7
17250	10
17300	22
17350	11
17400	12
17450	3
17500	6
17550	4
17600	2
17650	14
17700	3
17750	5
17800	4
17850	4
17900	8
17950	12
18000	6
18050	4
18100	11
18150	25
18200	42
18250	34
18300	44
18350	43
18400	37
18450	31
18500	15
18550	10
18600	10
18650	5
18700	4
18750	10
18800	5
18850	13
18900	19
18950	18
19000	9
19050	13
19100	5
19150	10
19200	7
19250	6
19300	4
19350	3
19400	2
19450	6
19500	6
19550	6
19600	5
19650	8
19700	3
19750	3
19800	5
19850	6
19900	6
19950	8
20000	6
20050	8
20100	12
20150	4
20200	11
20250	7
20300	6
20350	11
20400	5
20450	3
20500	10
20550	8
20600	7
20650	3
20700	7
20750	8
20800	2
20850	13
20900	12
20950	11
21000	5
21050	10
21100	5
21150	5
21200	1
21250	3
21300	4
21350	7
21400	8
21450	4
21500	4
21550	8
21600	5
21650	6
21700	6
21750	5
21800	4
21850	0
21900	5
21950	6
22000	6
22050	6
22100	8
22150	3
22200	6
22250	3
22300	1
22350	3
22400	3
22450	4
22500	7
22550	8
22600	3
22650	5
22700	3
22750	4
22800	4
22850	2
22900	1
22950	5
23000	3
23050	6
23100	8
23150	13
23200	6
23250	2
23300	4
23350	6
23400	13
23450	10
23500	13
23550	14
23600	14
23650	11
23700	4
23750	9
23800	4
23850	5
23900	9
23950	7
24000	3
24050	4
24100	16
24150	8
24200	9
24250	16
24300	10
24350	6
24400	7
24450	12
24500	11
24550	6
24600	11
24650	5
24700	5
24750	19
24800	11
24850	11
24900	8
24950	10
25000	7
25050	10
25100	5
25150	3
25200	4
25250	8
25300	6
25350	7
25400	6
25450	3
25500	11
25550	3
25600	8
25650	20
25700	19
25750	25
25800	21
25850	15
25900	6
25950	11
26000	11
26050	15
26100	21
26150	23
26200	30
26250	11
26300	18
26350	18
26400	14
26450	3
26500	10
26550	11
26600	7
26650	10
26700	8
26750	7
26800	8
26850	10
26900	17
26950	10
27000	11
27050	9
27100	13
27150	10
27200	3
27250	7
27300	2
27350	2
27400	1
27450	3
27500	3
27550	3
27600	5
27650	3
27700	4
27750	8
27800	5
27850	5
27900	2
27950	3
28000	5
28050	3
28100	2
28150	4
28200	7
28250	5
28300	7
28350	4
28400	5
28450	9
28500	10
28550	6
28600	11
28650	3
28700	3
28750	8
28800	5
28850	5
28900	3
28950	6
29000	6
29050	14
29100	10
29150	10
29200	9
29250	8
29300	8
29350	6
29400	5
29450	13
29500	4
29550	4
29600	12
29650	17
29700	14
29750	15
29800	2
29850	4
29900	3
29950	3
30000	4
30050	4
30100	4
30150	4
30200	1
30250	4
30300	1
30350	10
30400	15
30450	10
30500	15
30550	11
30600	8
30650	17
30700	14
30750	8
30800	16
30850	6
30900	12
30950	6
31000	13
31050	12
31100	6
31150	9
31200	9
31250	2
31300	4
31350	1
31400	4
31450	5
31500	3
31550	1
31600	6
31650	4
31700	6
31750	8
31800	2
31850	3
31900	6
31950	5
32000	7
32050	4
32100	1
