Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1105:4987:7216	315422	315249	-	-	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1125:11288:9674	210804	210453	+	+	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1147:13449:6652	320903	321105	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1214:32877:22106	112548	112946	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1240:6415:10504	137251	136262	-	-	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1253:6677:11334	160585	160324	+	+	broken	7	broken	7
A00742:705:HGKLFDSX7:1:1260:8467:7733	286050	285454	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1268:19027:14873	169673	170127	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1277:10267:25285	324479	323754	+	+	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1331:20365:31062	229339	228731	+	-	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1375:17146:13589	275491	275671	+	+	full	NA	broken	5
A00742:705:HGKLFDSX7:1:1429:9471:27884	151198	151578	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1459:20745:4131	357111	357427	+	+	complex	NA	full	NA
A00742:705:HGKLFDSX7:1:1539:28763:8249	190915	190995	-	-	full	NA	broken	7
A00742:705:HGKLFDSX7:1:1558:31168:14794	278628	277834	-	-	full	NA	broken	7
A00742:705:HGKLFDSX7:1:1601:9995:5462	325368	326364	-	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1636:29595:12540	300135	300306	-	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1645:3070:20838	167679	167446	-	-	full	NA	broken	3
A00742:705:HGKLFDSX7:1:1652:24677:1329	134644	134752	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1656:4164:31688	233419	233132	+	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1667:3405:3724	176190	175824	+	+	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1670:22968:33818	347471	347744	-	-	broken	4	full	NA
A00742:705:HGKLFDSX7:1:1678:12165:27571	134907	135066	-	-	full	NA	broken	24
A00742:705:HGKLFDSX7:1:2148:31656:34428	295044	295420	-	+	broken	4	full	NA
A00742:705:HGKLFDSX7:1:2215:22950:11553	218586	218839	+	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:2228:5900:9706	194199	194430	+	+	complex	NA	broken	6
A00742:705:HGKLFDSX7:1:2236:1633:18850	157299	157620	+	+	full	NA	broken	11
A00742:705:HGKLFDSX7:1:2247:1551:25003	138172	137691	-	-	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:2248:32018:12602	77791	77470	+	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:2312:2998:11694	357960	358250	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2326:12988:26115	276076	276217	+	+	broken	14	full	NA
A00742:705:HGKLFDSX7:1:2331:9896:2942	69612	68719	+	-	broken	35	broken	35
A00742:705:HGKLFDSX7:1:2333:23393:15389	285333	285542	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:2339:7826:11537	228963	229780	+	+	full	NA	broken	16
A00742:705:HGKLFDSX7:1:2375:3170:21512	168929	169822	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:2417:8892:9126	237837	238019	+	+	full	NA	broken	14
A00742:705:HGKLFDSX7:1:2421:2862:1063	169594	169299	-	-	broken	0	full	NA
A00742:705:HGKLFDSX7:1:2421:21477:17456	311013	310560	+	+	broken	8	full	NA
A00742:705:HGKLFDSX7:1:2436:13584:26647	129718	129926	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:2438:29857:12806	86495	86566	-	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:2456:29848:27759	352019	351840	+	+	full	NA	broken	18
A00742:705:HGKLFDSX7:1:2524:27661:3302	211548	211398	-	-	broken	14	full	NA
A00742:705:HGKLFDSX7:1:2559:17806:29982	161135	161391	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:2560:2691:26944	5858	5811	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2565:22019:3145	307690	307092	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2573:25102:29872	366519	366722	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2578:13268:1517	83348	83205	-	-	full	NA	broken	2
A00742:705:HGKLFDSX7:1:2607:19199:19460	231571	231035	+	+	full	NA	broken	3
A00742:705:HGKLFDSX7:1:2653:1994:35916	29652	30638	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:2654:1651:34037	355963	356101	-	-	full	NA	broken	6
A00742:705:HGKLFDSX7:1:2669:15881:18317	42697	42974	+	+	full	NA	full	NA
