Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:7817:7513	121648	109044	-	-
A00742:705:HGKLFDSX7:1:1101:28917:14340	53841	13914	+	-
A00742:705:HGKLFDSX7:1:1101:22137:18349	102914	16515	+	-
A00742:705:HGKLFDSX7:1:1101:5620:23813	125531	2200	+	+
A00742:705:HGKLFDSX7:1:1101:13801:29215	93585	94574	+	-
A00742:705:HGKLFDSX7:1:1101:32172:35102	115074	121907	-	-
A00742:705:HGKLFDSX7:1:1101:9073:36589	116176	109867	+	+
A00742:705:HGKLFDSX7:1:1102:21332:2456	26720	91567	-	-
A00742:705:HGKLFDSX7:1:1102:21377:2472	26720	91567	-	-
A00742:705:HGKLFDSX7:1:1102:6117:2722	3626	28014	-	+
A00742:705:HGKLFDSX7:1:1102:19434:5776	19157	100389	+	+
A00742:705:HGKLFDSX7:1:1102:18774:8891	100991	93296	+	+
A00742:705:HGKLFDSX7:1:1102:10601:13338	61604	105916	+	+
A00742:705:HGKLFDSX7:1:1102:1181:15154	47873	39883	+	+
A00742:705:HGKLFDSX7:1:1102:16315:18881	108887	104660	-	+
A00742:705:HGKLFDSX7:1:1102:2040:19022	11900	67758	+	-
A00742:705:HGKLFDSX7:1:1102:15781:21308	59879	4263	+	-
A00742:705:HGKLFDSX7:1:1102:23845:22686	73471	58576	-	-
A00742:705:HGKLFDSX7:1:1102:14461:28166	75368	105964	-	+
A00742:705:HGKLFDSX7:1:1102:31213:33442	24188	105015	+	+
A00742:705:HGKLFDSX7:1:1102:17644:34209	92355	86777	-	+
A00742:705:HGKLFDSX7:1:1103:22381:4930	91116	26022	+	-
A00742:705:HGKLFDSX7:1:1103:7482:19680	88543	87525	-	+
A00742:705:HGKLFDSX7:1:1103:18756:19883	100694	83779	+	+
A00742:705:HGKLFDSX7:1:1103:4860:26005	26501	110500	+	+
A00742:705:HGKLFDSX7:1:1103:10664:29512	101124	50055	-	+
A00742:705:HGKLFDSX7:1:1103:19361:34303	113207	124079	+	+
A00742:705:HGKLFDSX7:1:1103:15619:36370	99146	79836	-	+
A00742:705:HGKLFDSX7:1:1103:32714:36886	98536	58103	+	+
A00742:705:HGKLFDSX7:1:1104:25491:3740	114468	89057	+	-
A00742:705:HGKLFDSX7:1:1104:3613:4178	102294	40866	-	-
A00742:705:HGKLFDSX7:1:1104:4725:8516	63849	61704	+	-
A00742:705:HGKLFDSX7:1:1104:30463:13949	67292	91686	+	+
A00742:705:HGKLFDSX7:1:1104:18774:17253	120992	9113	-	-
A00742:705:HGKLFDSX7:1:1104:10511:18067	39342	113357	+	-
A00742:705:HGKLFDSX7:1:1104:15112:20243	108090	79486	-	+
A00742:705:HGKLFDSX7:1:1104:4996:32503	4171	119567	-	-
A00742:705:HGKLFDSX7:1:1105:7057:3505	85304	88283	+	+
A00742:705:HGKLFDSX7:1:1105:25418:3803	94232	13455	+	-
A00742:705:HGKLFDSX7:1:1105:6198:12821	93435	67725	-	+
A00742:705:HGKLFDSX7:1:1105:32461:16313	117903	11949	+	+
A00742:705:HGKLFDSX7:1:1105:4896:17957	89258	60296	+	+
A00742:705:HGKLFDSX7:1:1105:29568:21637	12071	62606	+	-
A00742:705:HGKLFDSX7:1:1105:17146:27461	99039	9865	+	-
A00742:705:HGKLFDSX7:1:1105:27444:34992	58765	41642	+	-
A00742:705:HGKLFDSX7:1:1106:19226:8046	106859	54439	-	-
A00742:705:HGKLFDSX7:1:1106:17761:8453	106859	54439	-	-
A00742:705:HGKLFDSX7:1:1106:7527:12273	47471	10037	-	-
A00742:705:HGKLFDSX7:1:1106:22263:12806	37829	102298	-	+
A00742:705:HGKLFDSX7:1:1106:21323:13213	30211	38215	+	+
A00742:705:HGKLFDSX7:1:1106:4842:16016	78845	115587	-	-
A00742:705:HGKLFDSX7:1:1106:4472:19883	81394	25705	+	+
A00742:705:HGKLFDSX7:1:1106:4273:28839	102296	17229	+	-
A00742:705:HGKLFDSX7:1:1106:2003:30765	113828	93018	+	+
A00742:705:HGKLFDSX7:1:1106:2166:30827	113828	93018	+	+
A00742:705:HGKLFDSX7:1:1106:2989:30937	113828	93018	+	+
A00742:705:HGKLFDSX7:1:1106:24948:36119	84753	121	-	-
A00742:705:HGKLFDSX7:1:1107:32443:1689	98501	7774	+	-
A00742:705:HGKLFDSX7:1:1107:15555:4351	21334	67104	+	-
A00742:705:HGKLFDSX7:1:1107:21097:10786	76911	33642	-	+
A00742:705:HGKLFDSX7:1:1107:18964:34867	105936	95742	-	+
A00742:705:HGKLFDSX7:1:1108:25635:1736	98951	10900	-	+
A00742:705:HGKLFDSX7:1:1108:7808:1924	64219	31	-	-
A00742:705:HGKLFDSX7:1:1108:26919:3928	96959	3963	+	+
A00742:705:HGKLFDSX7:1:1108:26964:4006	96959	3963	+	+
A00742:705:HGKLFDSX7:1:1108:12463:5384	24639	58697	+	-
A00742:705:HGKLFDSX7:1:1108:10954:16642	59782	126714	+	-
A00742:705:HGKLFDSX7:1:1108:10737:16673	59782	126714	+	-
A00742:705:HGKLFDSX7:1:1108:18349:19022	61876	39158	-	-
A00742:705:HGKLFDSX7:1:1108:28275:20744	68688	86906	+	+
