Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1101:10285:3020	93338	93287	+	-	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1101:30147:4225	8312	8438	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:6650:14544	60143	60258	-	+	broken	4	full	NA
A00742:705:HGKLFDSX7:1:1101:9136:26584	18731	18756	-	+	full	NA	broken	9
A00742:705:HGKLFDSX7:1:1101:20320:30765	85591	86188	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1101:16477:33536	70544	70105	+	+	broken	31	full	NA
A00742:705:HGKLFDSX7:1:1102:1298:5963	20092	20451	-	+	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1102:2971:9549	70341	69893	+	+	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1102:21106:17033	10422	10477	-	+	broken	28	broken	28
A00742:705:HGKLFDSX7:1:1102:3965:19038	115569	115983	+	+	full	NA	broken	10
A00742:705:HGKLFDSX7:1:1102:28800:23625	121146	121360	+	+	full	NA	broken	20
A00742:705:HGKLFDSX7:1:1102:3396:26631	96517	96126	+	-	full	NA	broken	9
A00742:705:HGKLFDSX7:1:1102:11840:33583	88324	87996	+	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1102:22715:36511	15370	15001	+	+	full	NA	broken	8
A00742:705:HGKLFDSX7:1:1103:19135:2754	10543	9867	+	+	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1103:6216:11819	4272	4399	-	-	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1103:7491:18630	47954	47917	+	-	full	NA	broken	47
A00742:705:HGKLFDSX7:1:1103:26368:22482	93082	93184	-	+	broken	4	full	NA
A00742:705:HGKLFDSX7:1:1103:28393:32189	57004	56203	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1103:11062:32362	71375	72044	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1103:15998:35086	4543	4001	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1104:7952:3991	68997	69436	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1104:12924:7498	66328	66331	-	+	broken	16	partial	NA
A00742:705:HGKLFDSX7:1:1104:25373:13213	47817	47814	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1104:12427:19852	91544	92459	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1104:4128:20415	121545	121148	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1104:6976:21026	70468	70198	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1104:6316:21261	7460	7890	+	+	full	NA	broken	17
A00742:705:HGKLFDSX7:1:1104:21233:30123	7807	7252	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1104:11831:35665	90201	91026	-	+	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1105:30635:16250	117911	118093	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1105:3983:31313	121345	121080	+	+	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1105:8956:33004	4524	3966	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1105:4490:34444	9871	10201	+	+	full	NA	broken	13
A00742:705:HGKLFDSX7:1:1106:27019:5415	48060	48066	-	+	broken	99	broken	99
A00742:705:HGKLFDSX7:1:1106:30626:9940	47789	47834	-	+	broken	52	broken	99
A00742:705:HGKLFDSX7:1:1106:13856:11459	68560	69366	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1106:18665:13808	48818	48852	-	+	broken	8	broken	8
A00742:705:HGKLFDSX7:1:1106:15257:19210	96456	96592	-	+	full	NA	broken	2
A00742:705:HGKLFDSX7:1:1106:22019:32049	3995	3974	+	-	full	NA	broken	13
A00742:705:HGKLFDSX7:1:1107:4878:5400	58486	58542	-	+	full	NA	broken	19
A00742:705:HGKLFDSX7:1:1107:7048:15358	4134	4641	-	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1107:5394:17284	99787	99803	-	+	broken	2	partial	NA
A00742:705:HGKLFDSX7:1:1107:15835:22122	2053	2677	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1108:3341:5963	7681	6937	+	-	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1108:14624:11256	110139	109982	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1108:12310:15139	47816	47833	-	+	broken	99	broken	99
A00742:705:HGKLFDSX7:1:1108:22535:24455	7013	7595	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1108:26133:25363	3582	4087	-	-	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1108:11306:28902	47813	47828	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1108:12689:33677	70499	70225	+	+	partial	NA	broken	31
A00742:705:HGKLFDSX7:1:1109:11614:2722	70733	69900	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1109:17345:13088	6758	7561	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1109:19795:15515	9888	9419	+	+	broken	19	full	NA
A00742:705:HGKLFDSX7:1:1109:31304:18724	110879	110184	-	-	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1109:22471:20619	22186	21949	+	-	broken	2	broken	2
A00742:705:HGKLFDSX7:1:1109:31367:20682	102009	102134	-	+	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1109:32723:29700	70075	70414	+	+	broken	10	broken	10
A00742:705:HGKLFDSX7:1:1109:6994:34554	70215	70489	+	+	broken	31	broken	14
A00742:705:HGKLFDSX7:1:1110:3414:27727	8399	8046	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1110:24777:35258	83124	83376	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1111:10140:1830	85294	85169	+	-	full	NA	broken	5
A00742:705:HGKLFDSX7:1:1111:30996:16407	115639	115837	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1111:12246:23516	8747	8780	+	+	full	NA	broken	42
A00742:705:HGKLFDSX7:1:1111:32298:30279	109922	109951	-	-	partial	NA	partial	NA
A00742:705:HGKLFDSX7:1:1112:26214:23281	55154	55090	+	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1112:18439:27946	47859	47925	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1112:5837:32487	97099	97256	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1113:16929:7670	47836	48108	-	+	broken	118	broken	118
A00742:705:HGKLFDSX7:1:1113:26169:8641	86328	86502	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1113:32814:12352	51574	51172	+	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1113:27082:22968	4259	4561	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1113:32181:26663	94970	95055	+	+	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1113:18177:29371	110254	110057	-	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1113:17291:31626	8936	8930	+	-	full	NA	broken	2
A00742:705:HGKLFDSX7:1:1113:8576:36010	37028	36842	+	-	full	NA	broken	3
A00742:705:HGKLFDSX7:1:1114:8838:2644	63041	62758	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1114:17535:8375	4172	4460	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1114:26124:9283	4144	4450	-	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1114:10682:18490	70197	70460	+	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1114:6750:20008	70153	70379	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1114:4399:20384	95692	94924	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1114:32027:25457	43150	42179	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1114:15799:25911	56632	56580	+	-	full	NA	broken	25
A00742:705:HGKLFDSX7:1:1114:17318:28635	65345	66085	-	+	full	NA	broken	41
A00742:705:HGKLFDSX7:1:1115:14100:3208	7404	7590	+	+	broken	24	full	NA
A00742:705:HGKLFDSX7:1:1115:30680:5713	125792	125745	-	-	full	NA	broken	13
A00742:705:HGKLFDSX7:1:1115:2908:11381	4481	4240	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1115:19614:11694	64705	64464	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1115:6831:19085	90496	89843	+	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1115:20925:23328	14739	15173	+	+	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1116:18701:6324	64375	64670	-	-	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1116:7952:14951	109381	109527	-	+	partial	NA	broken	0
A00742:705:HGKLFDSX7:1:1116:26467:15327	8755	8714	+	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1116:26277:19852	44535	44017	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1116:25446:33285	47788	47847	-	+	broken	52	complex	NA
A00742:705:HGKLFDSX7:1:1117:8956:8609	87797	88050	+	+	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1117:7057:8641	64282	64632	-	-	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1117:32678:12179	4368	3935	-	-	broken	14	broken	14
A00742:705:HGKLFDSX7:1:1117:21676:13416	37319	37611	-	+	broken	21	full	NA
A00742:705:HGKLFDSX7:1:1117:15835:16423	47893	47761	+	-	full	NA	broken	24
A00742:705:HGKLFDSX7:1:1118:21124:18004	7600	8279	-	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1118:25093:34491	4366	4217	+	-	broken	15	broken	15
A00742:705:HGKLFDSX7:1:1119:32732:5290	91577	91852	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1119:28212:8046	63072	62877	+	+	partial	NA	broken	15
A00742:705:HGKLFDSX7:1:1119:11171:11318	109903	110225	-	-	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1119:30490:23390	65544	64874	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1119:8495:25598	47813	47798	+	-	broken	97	full	NA
A00742:705:HGKLFDSX7:1:1119:16052:31548	61466	61147	+	+	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1119:5321:31876	69859	70522	+	+	full	NA	broken	31
A00742:705:HGKLFDSX7:1:1120:23285:7467	48108	47933	+	-	broken	118	full	NA
A00742:705:HGKLFDSX7:1:1120:5719:25207	8545	8784	+	+	full	NA	broken	42
A00742:705:HGKLFDSX7:1:1120:28854:36245	2441	2950	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1121:4580:2879	83697	83291	+	+	broken	19	full	NA
A00742:705:HGKLFDSX7:1:1121:28863:3411	4005	4309	-	-	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1121:17020:5572	65016	65312	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1121:11189:8061	85630	85569	+	-	broken	8	partial	NA
A00742:705:HGKLFDSX7:1:1121:25030:12148	8730	8296	+	+	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1121:29089:20807	44970	45877	-	+	broken	16	full	NA
A00742:705:HGKLFDSX7:1:1121:22878:22921	33268	33740	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1121:28836:23281	3315	3048	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1121:25174:28714	87513	87522	-	+	broken	5	broken	5
A00742:705:HGKLFDSX7:1:1121:21287:35634	46320	47032	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1122:5484:5228	86879	86741	+	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1122:19180:6652	9723	10577	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1122:31241:8876	56624	56820	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1122:18701:14497	8836	8522	+	+	broken	42	full	NA
A00742:705:HGKLFDSX7:1:1122:17761:15969	3621	3690	-	+	broken	12	broken	12
A00742:705:HGKLFDSX7:1:1122:20157:18771	5147	5822	-	+	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1122:19542:27226	10367	10470	-	+	broken	28	complex	NA
A00742:705:HGKLFDSX7:1:1122:27136:35775	47805	47831	-	+	broken	142	full	NA
A00742:705:HGKLFDSX7:1:1122:19687:36558	85024	85014	+	-	broken	0	complex	NA
A00742:705:HGKLFDSX7:1:1123:8648:8296	93417	93357	+	-	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1123:29903:15640	7003	6834	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1123:20699:20400	126116	126282	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1123:25708:21089	2624	1995	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1123:4001:26522	6037	5859	+	-	broken	1	broken	1
A00742:705:HGKLFDSX7:1:1123:23366:29371	57359	56833	+	+	broken	19	full	NA
A00742:705:HGKLFDSX7:1:1123:11867:31751	65978	66641	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1123:15374:33348	37638	37362	+	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1124:19081:7357	85211	85569	-	+	broken	10	full	NA
A00742:705:HGKLFDSX7:1:1124:2944:15076	91237	91105	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1124:20889:17284	4101	4463	-	-	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1124:21703:18255	8853	8675	+	+	broken	42	full	NA
A00742:705:HGKLFDSX7:1:1124:23999:20885	4116	4545	-	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1124:19822:22514	18289	18501	-	+	broken	7	partial	NA
A00742:705:HGKLFDSX7:1:1124:3549:22764	47857	47833	+	-	full	NA	broken	131
A00742:705:HGKLFDSX7:1:1124:14940:27962	2110	2104	+	-	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1124:10565:30279	115855	115775	+	+	full	NA	broken	22
A00742:705:HGKLFDSX7:1:1125:12463:2221	62208	62022	+	-	full	NA	broken	8
A00742:705:HGKLFDSX7:1:1125:20654:4225	5090	4254	+	-	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1125:13141:16767	7643	7447	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1125:32624:23234	124369	124797	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1125:18502:24111	93312	93133	+	-	broken	0	broken	0
A00742:705:HGKLFDSX7:1:1126:1705:6668	47993	47997	-	+	full	NA	broken	117
A00742:705:HGKLFDSX7:1:1126:20175:10254	4277	4507	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1127:16984:5165	4180	4476	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1127:30825:5776	115571	116005	+	+	full	NA	broken	25
A00742:705:HGKLFDSX7:1:1127:16649:6464	40382	40682	-	+	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1127:30255:9737	15279	14750	+	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1127:23665:16861	47949	48030	-	+	broken	30	full	NA
A00742:705:HGKLFDSX7:1:1127:3423:26021	50274	50230	+	-	broken	4	full	NA
A00742:705:HGKLFDSX7:1:1127:2365:32550	8742	8357	+	+	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1128:17291:11960	36095	36296	-	+	full	NA	broken	13
A00742:705:HGKLFDSX7:1:1128:2175:17503	12052	11988	+	-	full	NA	broken	31
A00742:705:HGKLFDSX7:1:1129:7708:3568	122069	121529	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1129:16098:10426	6238	6353	-	-	broken	6	broken	6
A00742:705:HGKLFDSX7:1:1129:18521:11459	95786	95558	+	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1129:9661:19351	121992	121851	+	-	broken	2	broken	2
A00742:705:HGKLFDSX7:1:1129:24352:22654	50322	49348	+	-	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1130:14380:3317	48068	47896	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1130:4372:9690	8828	8726	+	+	broken	42	full	NA
A00742:705:HGKLFDSX7:1:1130:19895:19852	1988	1998	-	+	broken	3	full	NA
A00742:705:HGKLFDSX7:1:1130:22914:27054	26242	26734	-	+	partial	NA	partial	NA
A00742:705:HGKLFDSX7:1:1130:20781:35289	98106	97823	-	-	complex	NA	full	NA
A00742:705:HGKLFDSX7:1:1130:29053:35368	74189	74662	+	+	full	NA	broken	3
A00742:705:HGKLFDSX7:1:1131:31919:1783	4446	5388	-	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1131:22110:11819	95149	95077	+	-	broken	0	broken	0
A00742:705:HGKLFDSX7:1:1131:10565:14622	48008	47522	+	+	broken	10	full	NA
A00742:705:HGKLFDSX7:1:1131:4996:17221	70210	70482	+	+	broken	31	partial	NA
A00742:705:HGKLFDSX7:1:1131:5330:17362	87820	88282	+	+	full	NA	broken	10
A00742:705:HGKLFDSX7:1:1131:10574:19836	86101	85962	+	-	full	NA	broken	2
A00742:705:HGKLFDSX7:1:1131:15185:25316	47927	47917	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1131:7256:33191	56629	57074	-	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1131:31747:33990	6907	7481	-	+	broken	2	full	NA
A00742:705:HGKLFDSX7:1:1132:31720:8735	56760	57521	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1132:10818:14215	58468	58696	-	-	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1132:1154:20995	58426	58680	-	-	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1133:17716:10473	1717	1413	-	-	broken	10	full	NA
A00742:705:HGKLFDSX7:1:1133:15709:17957	8752	8449	+	+	broken	16	full	NA
A00742:705:HGKLFDSX7:1:1133:16288:24721	47893	47845	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1133:8440:35650	53931	53912	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1134:13765:4539	67629	67613	+	-	broken	4	full	NA
A00742:705:HGKLFDSX7:1:1134:19578:5901	3418	3283	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1134:21965:14199	64188	64835	-	-	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1134:5710:17456	3810	3899	-	-	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1134:13720:20024	65913	65621	-	-	full	NA	broken	96
A00742:705:HGKLFDSX7:1:1134:21359:23453	3708	3408	+	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1134:23873:35446	111542	111323	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1134:7753:35744	48046	47987	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1134:26973:36996	1987	2043	-	-	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1135:1344:8422	85249	85389	-	+	full	NA	broken	4
