Position	C10_Mut_Control_3	C11_WT_Cipro_3	C12_Mut_Cipro_3	C17_WT_Control_4	C18_Mut_Control_4	C19_WT_Cipro_4	C01_WT_Control_1	C20_Mut_Cipro_4	C21_WT_Control_5	C22_Mut_Control_5	C23_WT_Cipro_5	C24_Mut_Cipro_5	C02_Mut_Control_1	C03_WT_Cipro_1	C04_Mut_Cipro_1	C05_WT_Control_2	C06_Mut_Control_2	C07_WT_Cipro_2	C08_Mut_Cipro_2	C09_WT_Control_3
50	7299.26	7443.3	7403.91	8129.22	8265.92	7633.75	7519.28	9459.2	6282.24	6893.46	5324.78	5512.28	7295.31	6596.74	7719.24	8368.98	8494.97	7517.82	7148.84	6102.28
150	13292.84	14024.33	13340.86	15301.53	15537.32	14633.22	13320.91	17047.19	11804.37	12639.63	9850.38	9899.58	13777.04	12299.52	13808.96	15014.2	15274.63	13591.11	12826.22	11516.59
250	13052.69	14002.61	13137.27	15449.11	15792.21	14954.08	13233.27	17209.08	11988.55	12517.71	9907.3	9740.31	13824.02	12236.96	13544.17	14858.32	15085.43	13327.65	12543.99	11446.34
350	14004.85	14912.33	14755.71	16579.79	16992.96	15948.52	15181.13	19102.08	12803.6	13755.22	10653.08	10825.91	14332.24	12806.03	15106.59	16622.51	16956.01	14401.54	13958.52	12198.32
450	15249.02	15779.24	17111.15	18191.58	18481.51	17443.24	16950.54	21639.74	13910.34	15190.24	11750.55	12492.78	15360.88	13651.11	16933.31	18375.12	18895.87	16409.26	15605.4	12990.53
550	17148.49	17262.97	19475.44	20189.29	20711.35	18935.14	19133.38	24714.61	15552.98	17095.07	12974.42	13789.55	17077.43	14968.2	18828.19	20509.85	20828.18	18804.64	17532.56	14279.1
650	18545.2	18814.02	21259.56	21589.16	22475.74	20534.96	20656.96	26838.71	16856.4	18361.65	14236.38	15057.03	18463.15	16431.07	20765.77	22256.33	22632.23	20745.25	19249.07	15511.97
750	18103.15	18570.64	20855.23	21137.08	22011.49	20390.58	20127.15	26743.72	16331.76	18051.27	14233.7	14964.99	18064.6	16675.39	20730.54	21707.02	22296.03	20118.93	19147.75	14956.92
850	17610.2	18474.46	20676.5	20878.54	21574.81	20372.75	19627.89	26459.91	16052.96	17734.87	14154.76	14978.43	17784.24	16336.9	20633.78	21568.58	22029.71	19862.12	18819.99	14746.52
950	17866.83	18713.4	21049.35	20985.47	21637.76	20830.79	19722.22	27075.38	16361.68	17870.06	14498.38	15345.42	18009.51	16533.24	20930.41	21743.36	22022.42	20287.94	19168.87	15129.19
1050	18309.41	18786.6	21584.19	21046.54	21649.99	20911.24	19967.47	27486.01	16564.39	18119.23	14511.89	15797.21	17764.89	16746.13	21405.83	21992.26	22278.99	20784.61	19592.75	15439.65
1150	19174.8	19811.37	22487.95	22028.74	22184.76	22164.81	20582.12	28529.42	17190.45	18801.27	15280.79	16748.72	18274.65	17259.51	22324.55	22554.98	22743.36	21520.23	20227.39	16314.55
1250	19754.41	20405.14	22693.59	22419.7	22920.91	22978.08	21265.13	29354.25	17442.08	19088.33	16028.67	17491.25	18827.63	17617.29	23388.55	23232.37	23334.36	21849.43	20749.33	16804.39
1350	20634.15	21315.5	23894.41	23332.42	23973.47	23621.14	22268.03	30843.66	18272.27	20004.64	16543.26	18025.96	19757.31	18511.3	24311.07	24337.01	24400.32	22770.76	21722.83	17185.74
1450	20400.75	21331.47	24104.01	23285.6	23797.35	23685.47	21901.62	31387.25	18270.09	19809.07	16703.57	18009.48	19564.68	18388.2	24620.44	24043.48	24190.95	22974.42	21910.18	16970.36
1550	19769.22	20938.47	23431	22456.26	23239.89	23602.62	21263.58	30960.73	18031.68	19326.51	16545.8	17420.03	19334.62	18256.6	24520.42	23213.09	23589.29	22553.36	21454.3	16828.94
1650	19080.9	20605.15	22662.08	21836.68	22602.84	23133.44	20558.22	30410.57	17301.41	18575.18	16113.29	17115.44	18990.24	18262.63	24193.46	22608.16	22777.68	21821.36	21113.29	16313.82
1750	17972.71	19233.04	21224.64	20510.81	20720.17	21733.1	19302.08	28614	15877.59	17197.61	15218.77	16260.16	17770.64	17411.17	22795.32	21157.33	21042.16	20297.96	19903.57	15175.21
1850	17438.15	18709.2	20377.82	19997.63	20052.18	21538.12	18894.68	28580.92	15621.61	16775.47	14993.62	15783.55	17383.18	16609.42	22336.78	20356.04	20309.91	19807.17	19399.18	14872.32
1950	17002.55	18722.09	19872.76	19478.57	19738.52	21119.91	18571.96	28763.54	15635.27	16495.79	15132.1	15538.42	17158.44	16449.15	22211.15	20028.83	19782.15	19515.82	19250.71	14606.43
2050	17652.8	19332.79	20670.12	20160.26	20555.79	22302.12	19111.1	30448.52	15850.56	17213.18	15809.74	16820.37	17980.42	17348.56	23731.63	20801.49	20655.13	20213.69	20205.77	15167.03
2150	17810.27	19395.84	21569.48	20830.77	20686.17	22597.55	19151.59	31244.51	16052.59	17487.89	16019.7	17636.39	18363.41	17462.54	24669.6	21005.5	21109.81	20675.35	21097.06	15136.84
2250	18346.87	19861.3	22699.78	21296.24	21341.59	23199.65	19917.07	32236.16	16686.72	18017.9	16632.39	18102.16	18524.01	18139.13	25391.12	21716.75	21837.84	21606.3	21988.11	15604.83
2350	18449.03	20192.57	22667.49	20909.65	21259.64	23027.23	19972.37	32134.35	16538.51	18005.42	16567.83	18334.7	18444.98	17853.68	25694.64	21624.94	21902.88	21583.22	22009.43	15634.57
2450	17542.8	19465.44	21783.86	19968.25	20498.79	22189.56	19317.97	31010.58	15820.11	17136.73	15991.43	17737.74	17670.48	17179.76	25348.67	20504.32	21045.62	20993.37	21337.3	14905.13
2550	17228.62	19233.94	21341.88	19707.55	20212.31	22169.96	18830.66	30649.73	15749.78	16854.4	15797.03	17480.5	17256.84	17304.38	24909.78	20325.66	20592.8	20709.31	21218.24	14619.21
2650	16600.07	18953.52	20843.15	19205.49	19380.17	21615.26	17994.71	30811.65	15151.38	16350.2	15383.5	17045.49	16663.67	17129.47	24401.84	19779.54	19942.45	20358.27	20380.31	14200.27
2750	16859.58	19135.33	21388.96	19590.51	19769.35	22339.84	17983.4	32263.13	15159.28	16270.94	15701.65	17158.83	16966.97	17132.56	24920.93	20027.16	19974.54	20619.4	20830.15	14153.74
2850	17446.93	19287.96	22442.53	20173.15	20393.85	22895.51	18718.98	33775.9	15523.45	16773.27	16339.17	18040.96	17727.82	17996.09	26025.65	20641.33	20804.57	21436.03	21989.48	14481.7
2950	17472.28	19638.12	22872.98	20333.04	20623.62	22825.89	18875.62	34497.44	15858.56	16936.26	16692.42	18422.39	17763.51	18260.72	26619.71	20981.12	21071.38	21939.79	22685.06	14668.32
3050	16922.87	19249.3	22216.08	19951.37	20104.41	22815.72	18548.46	34059.49	15380.94	16629.44	16700.56	18217.77	17091.41	17817.62	26263.29	20212.54	20458.55	21304.36	22188.4	14235.37
3150	15988.44	18352.52	21538.68	18927.76	19308.88	22104.07	17976.33	33110.43	14894.48	15910.08	16431.96	18142.73	16386.39	17402.44	26032.74	19066.09	19533.92	20583.03	21746	13561.34
3250	15852.7	18784.6	22455.35	19103.43	19801.71	22803.66	18218.42	34109.3	15265.57	16090.39	16796.41	18808.25	16875.04	17589.55	27230.99	19462.22	19889.92	21202.87	22392.77	13596.72
