Position	Read_Count
50	0
100	0
150	0
200	0
250	0
300	0
350	0
400	0
450	0
500	0
550	0
600	0
650	0
700	0
750	0
800	0
850	0
900	0
950	0
1000	0
1050	8
1100	13
1150	18
1200	13
1250	13
1300	16
1350	23
1400	9
1450	16
1500	20
1550	22
1600	19
1650	35
1700	43
1750	41
1800	38
1850	41
1900	19
1950	45
2000	26
2050	28
2100	31
2150	47
2200	52
2250	61
2300	57
2350	44
2400	55
2450	45
2500	35
2550	41
2600	22
2650	10
2700	10
2750	8
2800	14
2850	12
2900	11
2950	6
3000	2
3050	5
3100	7
3150	2
3200	6
3250	4
3300	8
3350	14
3400	21
3450	16
3500	25
3550	17
3600	14
3650	11
3700	16
3750	10
3800	23
3850	18
3900	15
3950	11
4000	18
4050	10
4100	10
4150	10
4200	3
4250	17
4300	10
4350	12
4400	19
4450	14
4500	13
4550	11
4600	11
4650	9
4700	19
4750	21
4800	19
4850	22
4900	10
4950	3
5000	6
5050	4
5100	1
5150	2
5200	1
5250	1
5300	1
5350	0
5400	0
5450	0
5500	1
5550	0
5600	0
5650	3
5700	0
5750	1
5800	2
5850	2
5900	3
5950	5
6000	1
6050	5
6100	4
6150	4
6200	4
6250	1
6300	3
6350	2
6400	4
6450	0
6500	2
6550	1
6600	4
6650	7
6700	8
6750	2
6800	3
6850	3
6900	5
6950	2
7000	2
7050	0
7100	1
7150	5
7200	3
7250	2
7300	3
7350	7
7400	4
7450	2
7500	4
7550	8
7600	6
7650	6
7700	3
7750	27
7800	34
7850	38
7900	40
7950	26
8000	19
8050	22
8100	20
8150	28
8200	26
8250	31
8300	36
8350	26
8400	17
8450	6
8500	4
8550	4
8600	2
8650	1
8700	2
8750	3
8800	7
8850	6
8900	7
8950	4
9000	2
9050	2
9100	2
9150	1
9200	1
9250	2
9300	3
9350	0
9400	3
9450	4
9500	5
9550	2
9600	2
9650	3
9700	8
9750	4
9800	3
9850	3
9900	3
9950	5
10000	4
10050	2
10100	2
10150	0
10200	1
10250	0
10300	4
10350	1
10400	0
10450	0
10500	0
10550	1
10600	0
10650	11
10700	3
10750	5
10800	3
10850	1
10900	4
10950	1
11000	1
11050	7
11100	12
11150	18
11200	15
11250	8
11300	8
11350	8
11400	13
11450	5
11500	10
11550	9
11600	8
11650	9
11700	4
11750	6
11800	4
11850	8
11900	8
11950	7
12000	10
12050	11
12100	4
12150	9
12200	5
12250	1
12300	3
12350	4
12400	6
12450	2
12500	2
12550	7
12600	3
12650	1
12700	22
12750	18
12800	29
12850	38
12900	37
12950	27
13000	15
13050	29
13100	22
13150	26
13200	33
13250	31
13300	22
13350	26
13400	23
13450	22
13500	25
13550	16
13600	17
13650	20
13700	33
13750	19
13800	21
13850	13
13900	16
13950	8
14000	8
14050	11
14100	12
14150	18
14200	12
14250	9
14300	12
14350	10
14400	5
14450	5
14500	0
14550	5
14600	3
14650	5
14700	6
14750	4
14800	7
14850	9
14900	8
14950	9
15000	9
15050	3
15100	3
15150	7
15200	2
15250	4
15300	5
15350	3
15400	3
15450	1
15500	3
15550	7
15600	4
15650	1
15700	6
15750	0
15800	1
15850	2
15900	1
15950	0
16000	2
16050	5
16100	6
16150	4
16200	3
16250	1
16300	2
16350	2
16400	2
16450	0
16500	2
16550	6
16600	5
16650	5
16700	2
16750	3
16800	6
16850	2
16900	6
16950	4
17000	2
17050	1
17100	1
17150	3
17200	6
17250	4
17300	5
17350	3
17400	1
17450	5
17500	9
17550	11
17600	8
17650	9
17700	17
17750	88
17800	109
17850	124
17900	131
17950	90
18000	63
18050	54
18100	68
18150	79
18200	79
18250	117
18300	97
18350	118
18400	87
18450	31
18500	7
18550	6
18600	7
18650	3
18700	4
18750	10
18800	10
18850	15
18900	23
18950	14
19000	15
19050	16
19100	9
19150	9
19200	5
19250	9
19300	3
19350	7
19400	13
19450	17
19500	27
19550	26
19600	12
19650	13
19700	19
19750	20
19800	13
19850	11
19900	7
19950	6
20000	5
20050	1
20100	6
20150	2
20200	7
20250	0
20300	2
20350	3
20400	6
20450	0
20500	2
20550	0
20600	2
20650	6
20700	0
20750	3
20800	2
20850	1
20900	3
20950	0
21000	3
21050	2
21100	4
21150	4
21200	1
21250	2
21300	1
21350	5
21400	3
21450	2
21500	3
21550	6
21600	7
21650	6
21700	2
21750	2
21800	1
21850	6
21900	2
21950	2
22000	4
22050	2
22100	5
22150	7
22200	12
22250	8
22300	11
22350	12
22400	8
22450	10
22500	5
22550	2
22600	4
22650	8
22700	4
22750	5
22800	5
22850	4
22900	5
22950	6
23000	4
23050	3
23100	7
23150	3
23200	11
23250	9
23300	7
23350	5
23400	35
23450	33
23500	45
23550	58
23600	52
23650	30
23700	28
23750	26
23800	30
23850	42
23900	46
23950	54
24000	62
24050	45
24100	62
24150	24
24200	21
24250	25
24300	28
24350	10
24400	21
24450	33
24500	22
24550	23
24600	25
24650	43
24700	31
24750	16
24800	13
24850	9
24900	6
24950	10
25000	10
25050	12
25100	16
25150	12
25200	3
25250	9
25300	1
25350	5
25400	3
25450	7
25500	9
25550	3
25600	2
25650	11
25700	4
25750	6
25800	8
25850	7
25900	6
25950	12
26000	6
26050	15
26100	4
26150	3
26200	4
26250	7
26300	10
26350	6
26400	0
26450	0
26500	1
26550	5
26600	1
26650	2
26700	0
26750	3
26800	0
26850	3
26900	0
26950	2
27000	1
27050	1
27100	1
27150	3
27200	3
27250	2
27300	4
27350	3
27400	5
27450	5
27500	5
27550	4
27600	3
27650	4
27700	5
27750	6
27800	4
27850	1
27900	2
27950	2
28000	0
28050	0
28100	1
28150	4
28200	0
28250	5
28300	3
28350	1
28400	3
28450	0
28500	4
28550	4
28600	1
28650	2
28700	0
28750	13
28800	8
28850	15
28900	16
28950	16
29000	15
29050	7
29100	14
29150	14
29200	15
29250	15
29300	7
29350	3
29400	3
29450	6
29500	1
29550	4
29600	3
29650	2
29700	8
29750	2
29800	6
29850	5
29900	5
29950	2
30000	0
30050	1
30100	1
30150	2
30200	3
30250	3
30300	5
30350	12
30400	4
30450	5
30500	7
30550	7
30600	2
30650	5
30700	8
30750	6
30800	3
30850	4
30900	2
30950	6
31000	5
31050	2
31100	5
31150	4
31200	4
31250	2
31300	2
31350	3
31400	3
31450	0
31500	1
31550	3
31600	4
31650	3
31700	2
31750	0
31800	0
31850	1
31900	2
31950	3
32000	3
32050	2
32100	4
