Position	Read_Count
50	0
100	0
150	0
200	0
250	0
300	0
350	0
400	0
450	0
500	0
550	0
600	0
650	0
700	0
750	0
800	0
850	0
900	0
950	0
1000	0
1050	12
1100	15
1150	18
1200	15
1250	21
1300	19
1350	12
1400	12
1450	17
1500	23
1550	42
1600	41
1650	78
1700	67
1750	67
1800	54
1850	41
1900	33
1950	45
2000	54
2050	51
2100	48
2150	47
2200	74
2250	65
2300	69
2350	62
2400	69
2450	57
2500	47
2550	57
2600	31
2650	6
2700	15
2750	6
2800	11
2850	11
2900	8
2950	14
3000	5
3050	5
3100	7
3150	10
3200	5
3250	5
3300	10
3350	26
3400	19
3450	24
3500	31
3550	17
3600	24
3650	19
3700	16
3750	28
3800	19
3850	25
3900	29
3950	13
4000	20
4050	25
4100	21
4150	26
4200	7
4250	14
4300	25
4350	20
4400	16
4450	16
4500	15
4550	14
4600	13
4650	10
4700	20
4750	24
4800	16
4850	36
4900	12
4950	3
5000	6
5050	4
5100	3
5150	2
5200	3
5250	6
5300	1
5350	4
5400	4
5450	1
5500	1
5550	2
5600	0
5650	0
5700	2
5750	2
5800	1
5850	0
5900	4
5950	6
6000	22
6050	28
6100	26
6150	17
6200	10
6250	6
6300	3
6350	3
6400	4
6450	8
6500	14
6550	7
6600	3
6650	8
6700	3
6750	6
6800	6
6850	7
6900	4
6950	4
7000	3
7050	7
7100	3
7150	3
7200	2
7250	1
7300	3
7350	3
7400	1
7450	3
7500	5
7550	5
7600	5
7650	8
7700	6
7750	25
7800	98
7850	69
7900	66
7950	57
8000	49
8050	38
8100	54
8150	46
8200	55
8250	56
8300	81
8350	83
8400	34
8450	8
8500	4
8550	1
8600	8
8650	4
8700	5
8750	8
8800	6
8850	8
8900	4
8950	4
9000	0
9050	0
9100	0
9150	1
9200	3
9250	3
9300	4
9350	2
9400	4
9450	5
9500	3
9550	4
9600	1
9650	7
9700	1
9750	8
9800	6
9850	4
9900	6
9950	8
10000	4
10050	3
10100	3
10150	11
10200	4
10250	3
10300	5
10350	2
10400	2
10450	1
10500	2
10550	1
10600	0
10650	1
10700	1
10750	3
10800	2
10850	2
10900	1
10950	2
11000	3
11050	6
11100	10
11150	16
11200	14
11250	14
11300	17
11350	11
11400	11
11450	11
11500	3
11550	10
11600	16
11650	9
11700	5
11750	9
11800	2
11850	15
11900	14
11950	14
12000	11
12050	9
12100	7
12150	9
12200	7
12250	9
12300	4
12350	3
12400	2
12450	4
12500	9
12550	11
12600	19
12650	14
12700	24
12750	19
12800	27
12850	46
12900	36
12950	37
13000	27
13050	35
13100	24
13150	28
13200	23
13250	32
13300	25
13350	28
13400	21
13450	30
13500	25
13550	20
13600	11
13650	17
13700	19
13750	18
13800	30
13850	20
13900	20
13950	16
14000	13
14050	21
14100	8
14150	27
14200	17
14250	17
14300	13
14350	15
14400	10
14450	3
14500	9
14550	14
14600	5
14650	7
14700	9
14750	5
14800	14
14850	13
14900	20
14950	18
15000	15
15050	16
15100	18
15150	11
15200	17
15250	11
15300	5
15350	3
15400	5
15450	5
15500	4
15550	5
15600	3
15650	7
15700	5
15750	11
15800	6
15850	3
15900	8
15950	4
16000	6
16050	6
16100	7
16150	2
16200	5
16250	6
16300	0
16350	1
16400	1
16450	0
16500	7
16550	3
16600	2
16650	6
16700	7
16750	6
16800	6
16850	10
16900	5
16950	5
17000	5
17050	4
17100	2
17150	0
17200	9
17250	10
17300	12
17350	7
17400	13
17450	13
17500	5
17550	9
17600	14
17650	16
17700	14
17750	154
17800	231
17850	247
17900	221
17950	160
18000	117
18050	105
18100	90
18150	108
18200	152
18250	200
18300	203
18350	221
18400	179
18450	66
18500	5
18550	7
18600	4
18650	5
18700	6
18750	12
18800	29
18850	35
18900	37
18950	26
19000	22
19050	19
19100	25
19150	24
19200	20
19250	24
19300	7
19350	23
19400	22
19450	20
19500	24
19550	25
19600	19
19650	26
19700	37
19750	21
19800	16
19850	12
19900	9
19950	13
20000	5
20050	5
20100	5
20150	4
20200	15
20250	3
20300	3
20350	8
20400	6
20450	5
20500	3
20550	2
20600	0
20650	2
20700	1
20750	0
20800	3
20850	2
20900	7
20950	4
21000	1
21050	1
21100	2
21150	0
21200	6
21250	2
21300	3
21350	4
21400	3
21450	7
21500	4
21550	3
21600	2
21650	10
21700	5
21750	1
21800	5
21850	5
21900	3
21950	8
22000	2
22050	12
22100	9
22150	12
22200	8
22250	14
22300	10
22350	11
22400	15
22450	11
22500	7
22550	2
22600	3
22650	3
22700	10
22750	8
22800	8
22850	9
22900	13
22950	4
23000	5
23050	9
23100	18
23150	14
23200	24
23250	23
23300	7
23350	3
23400	43
23450	40
23500	61
23550	65
23600	51
23650	24
23700	36
23750	30
23800	38
23850	52
23900	52
23950	59
24000	79
24050	60
24100	70
24150	52
24200	76
24250	68
24300	61
24350	46
24400	53
24450	52
24500	71
24550	91
24600	82
24650	82
24700	72
24750	22
24800	23
24850	21
24900	10
24950	19
25000	8
25050	21
25100	13
25150	14
25200	8
25250	4
25300	4
25350	1
25400	5
25450	9
25500	8
25550	5
25600	10
25650	10
25700	7
25750	11
25800	7
25850	8
25900	6
25950	14
26000	9
26050	20
26100	8
26150	13
26200	11
26250	11
26300	8
26350	3
26400	3
26450	1
26500	3
26550	2
26600	1
26650	2
26700	1
26750	1
26800	1
26850	0
26900	1
26950	1
27000	3
27050	2
27100	8
27150	6
27200	6
27250	2
27300	5
27350	0
27400	11
27450	20
27500	21
27550	11
27600	11
27650	7
27700	7
27750	4
27800	12
27850	5
27900	3
27950	1
28000	6
28050	0
28100	4
28150	2
28200	3
28250	2
28300	2
28350	10
28400	2
28450	2
28500	7
28550	6
28600	4
28650	3
28700	1
28750	9
28800	19
28850	9
28900	11
28950	20
29000	8
29050	16
29100	23
29150	14
29200	17
29250	36
29300	24
29350	16
29400	18
29450	18
29500	20
29550	22
29600	13
29650	8
29700	6
29750	15
29800	9
29850	12
29900	13
29950	15
30000	5
30050	4
30100	3
30150	6
30200	9
30250	9
30300	19
30350	26
30400	19
30450	20
30500	16
30550	11
30600	14
30650	10
30700	17
30750	11
30800	12
30850	14
30900	11
30950	11
31000	8
31050	3
31100	7
31150	4
31200	1
31250	2
31300	4
31350	10
31400	7
31450	1
31500	6
31550	2
31600	5
31650	9
31700	5
31750	4
31800	4
31850	1
31900	4
31950	3
32000	3
32050	1
32100	2
