Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:11306:24142	269740	66621	-	+
A00742:705:HGKLFDSX7:1:1102:13910:12399	367666	472	+	-
A00742:705:HGKLFDSX7:1:1103:31096:3583	367714	194298	+	-
A00742:705:HGKLFDSX7:1:1103:26512:14184	269473	67218	+	-
A00742:705:HGKLFDSX7:1:1103:4327:27367	194376	367585	-	+
A00742:705:HGKLFDSX7:1:1104:1199:28964	135284	257875	-	+
A00742:705:HGKLFDSX7:1:1105:27091:16470	194294	367633	-	+
A00742:705:HGKLFDSX7:1:1105:22399:24815	367501	194374	+	-
A00742:705:HGKLFDSX7:1:1106:19822:3505	367485	30	+	-
A00742:705:HGKLFDSX7:1:1106:16043:9831	345178	134702	-	+
A00742:705:HGKLFDSX7:1:1106:15275:13072	345178	257683	-	+
A00742:705:HGKLFDSX7:1:1106:32777:31328	194253	367553	-	+
A00742:705:HGKLFDSX7:1:1107:29912:31344	340851	108284	+	+
A00742:705:HGKLFDSX7:1:1107:9372:36761	367760	113	+	-
A00742:705:HGKLFDSX7:1:1108:24813:24017	156218	252238	-	-
A00742:705:HGKLFDSX7:1:1108:24758:35102	367595	194273	+	-
A00742:705:HGKLFDSX7:1:1109:26910:24893	114076	102259	+	+
A00742:705:HGKLFDSX7:1:1110:31313:10441	30	367543	-	+
A00742:705:HGKLFDSX7:1:1110:7193:27821	194339	367627	-	+
A00742:705:HGKLFDSX7:1:1110:29577:32769	269741	66772	-	+
A00742:705:HGKLFDSX7:1:1111:27859:1861	252037	156271	-	-
A00742:705:HGKLFDSX7:1:1111:13114:13902	340726	108453	+	+
A00742:705:HGKLFDSX7:1:1113:12861:3975	127336	332485	-	-
A00742:705:HGKLFDSX7:1:1114:31548:28761	105212	318791	-	+
A00742:705:HGKLFDSX7:1:1114:31566:28761	105212	318791	-	+
A00742:705:HGKLFDSX7:1:1117:22742:31861	367564	65	+	-
A00742:705:HGKLFDSX7:1:1119:26684:3051	265999	49402	-	-
A00742:705:HGKLFDSX7:1:1119:22959:3583	367545	162	+	-
A00742:705:HGKLFDSX7:1:1119:22525:3897	367545	162	+	-
A00742:705:HGKLFDSX7:1:1119:5791:31281	228931	63896	-	-
A00742:705:HGKLFDSX7:1:1120:22851:5588	367580	194268	+	-
A00742:705:HGKLFDSX7:1:1120:31105:8296	194202	367575	-	+
A00742:705:HGKLFDSX7:1:1120:17291:17691	289115	105358	+	-
A00742:705:HGKLFDSX7:1:1121:3242:20854	367748	194536	+	-
A00742:705:HGKLFDSX7:1:1121:27796:24298	265841	49681	-	-
A00742:705:HGKLFDSX7:1:1122:19877:12023	139	367752	-	+
A00742:705:HGKLFDSX7:1:1122:1380:15154	131363	239013	-	-
A00742:705:HGKLFDSX7:1:1123:7762:2440	254828	139666	+	+
A00742:705:HGKLFDSX7:1:1123:25509:17487	49443	266028	-	-
A00742:705:HGKLFDSX7:1:1126:8250:7420	367666	255	+	-
A00742:705:HGKLFDSX7:1:1126:24433:31657	282339	281985	+	+
A00742:705:HGKLFDSX7:1:1126:23927:32878	282339	281985	+	+
A00742:705:HGKLFDSX7:1:1127:23818:4758	367758	254	+	-
A00742:705:HGKLFDSX7:1:1127:25663:6417	156254	252081	-	-
A00742:705:HGKLFDSX7:1:1127:23384:7451	156254	252081	-	-
A00742:705:HGKLFDSX7:1:1130:21133:4304	108342	340737	+	+
A00742:705:HGKLFDSX7:1:1130:1777:8265	367742	239	+	-
A00742:705:HGKLFDSX7:1:1130:28085:18286	116	367621	-	+
A00742:705:HGKLFDSX7:1:1130:27109:27023	367705	261	+	-
A00742:705:HGKLFDSX7:1:1130:2193:29778	367477	194267	+	-
A00742:705:HGKLFDSX7:1:1131:23854:6167	229038	63665	-	-
A00742:705:HGKLFDSX7:1:1131:21748:22968	367666	194430	+	-
A00742:705:HGKLFDSX7:1:1132:6578:2018	108313	340842	+	+
A00742:705:HGKLFDSX7:1:1133:9037:7686	111779	56519	+	+
A00742:705:HGKLFDSX7:1:1134:27136:9283	266100	49398	-	-
A00742:705:HGKLFDSX7:1:1135:28999:34303	194269	367537	-	+
A00742:705:HGKLFDSX7:1:1136:25247:9893	194330	367638	-	+
A00742:705:HGKLFDSX7:1:1136:18774:32816	156312	252296	-	-
A00742:705:HGKLFDSX7:1:1136:26087:34303	85117	320562	-	-
A00742:705:HGKLFDSX7:1:1139:22426:33285	269747	66833	-	+
